context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: Genshiken\I woke up and as usual forgot my cell and missed the Express. response:	My life reflected in the train window.
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window. response:	I'm sure I have something that I won't lose to anyone in Japan...
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan... response:	I can't run fast, though.
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though. response:	I'm not that strongly-built.
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built. response:	Here I go, at my dauntless pace.
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace. response:	Pass away, today's sadness, raining in the sun!
context: Genshiken\I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun! response:	Hesitation, repetition, dreaming all night, all night.
context: I woke up and as usual forgot my cell and missed the Express.\My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night. response:	Farewell sadness, to outer space you go!
context: My life reflected in the train window.\I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go! response:	Look to the sky and shout at the top of your lungs!
context: I'm sure I have something that I won't lose to anyone in Japan...\I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs! response:	At this tempo!
