context: All right! It cleared up response:	Really it's like last night's rain was a lie
context: All right! It cleared up\Really it's like last night's rain was a lie response:	By the way Sakura
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura response:	aren't you up early for a Sunday?
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday? response:	Today I am having a picnic
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic response:	with Tomoyo-chan at the wooded park
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park response:	Why don't you go along, Kero-chan?
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan? response:	If you are in the bag nobody can tell,
context: All right! It cleared up\Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell, response:	OK? OK?
context: Really it's like last night's rain was a lie\By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK? response:	I'm so glad the weather turned nice
context: By the way Sakura\aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice response:	Good morning!
context: aren't you up early for a Sunday?\Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice\Good morning! response:	Good morning Sakura
context: Today I am having a picnic\with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice\Good morning!\Good morning Sakura response:	You seem pretty happy monster
context: with Tomoyo-chan at the wooded park\Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice\Good morning!\Good morning Sakura\You seem pretty happy monster response:	I'll forgive you today
context: Why don't you go along, Kero-chan?\If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice\Good morning!\Good morning Sakura\You seem pretty happy monster\I'll forgive you today response:	You really do seem in a good mood Sakura
context: If you are in the bag nobody can tell,\OK? OK?\I'm so glad the weather turned nice\Good morning!\Good morning Sakura\You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura response:	Today I am going out with Tomoyo-chan.
context: OK? OK?\I'm so glad the weather turned nice\Good morning!\Good morning Sakura\You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan. response:	Eh?
context: I'm so glad the weather turned nice\Good morning!\Good morning Sakura\You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh? response:	Today's chores are all you aren't they?
context: Good morning!\Good morning Sakura\You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they? response:	What?
context: Good morning Sakura\You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they?\What? response:	You wrote it yourself last week and forgot?
context: You seem pretty happy monster\I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot? response:	Umm Umm
context: I'll forgive you today\You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot?\Umm Umm response:	Rika-chan is having a piano recital
context: You really do seem in a good mood Sakura\Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital response:	I was thinking I'd like to go cheer her on
context: Today I am going out with Tomoyo-chan.\Eh?\Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on response:	Fine I'll switch with you
context: Eh?\Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you response:	Really?
context: Today's chores are all you aren't they?\What?\You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really? response:	In return next Sunday you are doing all the household chores
context: What?\You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores response:	Umm Umm'
context: You wrote it yourself last week and forgot?\Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores\Umm Umm' response:	Well I have work
context: Umm Umm\Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work response:	I'll take care of it
context: Rika-chan is having a piano recital\I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work\I'll take care of it response:	It has been raining a lot lately
context: I was thinking I'd like to go cheer her on\Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work\I'll take care of it\It has been raining a lot lately response:	so this much built up
context: Fine I'll switch with you\Really?\In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work\I'll take care of it\It has been raining a lot lately\so this much built up response:	Shall I help you a bit?
context: Really?\In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work\I'll take care of it\It has been raining a lot lately\so this much built up\Shall I help you a bit? response:	You have a meeting today don't you dad?
context: In return next Sunday you are doing all the household chores\Umm Umm'\Well I have work\I'll take care of it\It has been raining a lot lately\so this much built up\Shall I help you a bit?\You have a meeting today don't you dad? response:	It's OK I'll do it
context: Umm Umm'\Well I have work\I'll take care of it\It has been raining a lot lately\so this much built up\Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it response:	Sorry
context: Well I have work\I'll take care of it\It has been raining a lot lately\so this much built up\Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it\Sorry response:	Leave it to me
context: I'll take care of it\It has been raining a lot lately\so this much built up\Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it\Sorry\Leave it to me response:	I'll leave this by the washing machine
context: It has been raining a lot lately\so this much built up\Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it\Sorry\Leave it to me\I'll leave this by the washing machine response:	OK
context: so this much built up\Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it\Sorry\Leave it to me\I'll leave this by the washing machine\OK response:	I'm leaving
context: Shall I help you a bit?\You have a meeting today don't you dad?\It's OK I'll do it\Sorry\Leave it to me\I'll leave this by the washing machine\OK\I'm leaving response:	See you later
context: You have a meeting today don't you dad?\It's OK I'll do it\Sorry\Leave it to me\I'll leave this by the washing machine\OK\I'm leaving\See you later response:	I'm leaving too
context: It's OK I'll do it\Sorry\Leave it to me\I'll leave this by the washing machine\OK\I'm leaving\See you later\I'm leaving too response:	Yeah see you later
context: Sorry\Leave it to me\I'll leave this by the washing machine\OK\I'm leaving\See you later\I'm leaving too\Yeah see you later response:	I'm off.
context: Leave it to me\I'll leave this by the washing machine\OK\I'm leaving\See you later\I'm leaving too\Yeah see you later\I'm off. response:	Umm' Umm'
context: I'll leave this by the washing machine\OK\I'm leaving\See you later\I'm leaving too\Yeah see you later\I'm off.\Umm' Umm' response:	So that's it?
context: OK\I'm leaving\See you later\I'm leaving too\Yeah see you later\I'm off.\Umm' Umm'\So that's it? response:	I'm sorry
context: I'm leaving\See you later\I'm leaving too\Yeah see you later\I'm off.\Umm' Umm'\So that's it?\I'm sorry response:	I completely forgot I had chores today
context: See you later\I'm leaving too\Yeah see you later\I'm off.\Umm' Umm'\So that's it?\I'm sorry\I completely forgot I had chores today response:	There is no helping it
context: I'm leaving too\Yeah see you later\I'm off.\Umm' Umm'\So that's it?\I'm sorry\I completely forgot I had chores today\There is no helping it response:	I'm really sorry
context: Yeah see you later\I'm off.\Umm' Umm'\So that's it?\I'm sorry\I completely forgot I had chores today\There is no helping it\I'm really sorry response:	Don't worry about it too much
context: I'm off.\Umm' Umm'\So that's it?\I'm sorry\I completely forgot I had chores today\There is no helping it\I'm really sorry\Don't worry about it too much response:	Good luck with your chores
context: Umm' Umm'\So that's it?\I'm sorry\I completely forgot I had chores today\There is no helping it\I'm really sorry\Don't worry about it too much\Good luck with your chores response:	Yeah! Thanks
context: So that's it?\I'm sorry\I completely forgot I had chores today\There is no helping it\I'm really sorry\Don't worry about it too much\Good luck with your chores\Yeah! Thanks response:	Well I'll see you at school tomorrow
context: I'm sorry\I completely forgot I had chores today\There is no helping it\I'm really sorry\Don't worry about it too much\Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow response:	Yes until tomorrow
context: I completely forgot I had chores today\There is no helping it\I'm really sorry\Don't worry about it too much\Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow response:	I'll bring a letter of apology on Monday
context: There is no helping it\I'm really sorry\Don't worry about it too much\Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday response:	Well then shall we get down to work
context: I'm really sorry\Don't worry about it too much\Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work response:	Kero-chan how's it going?
context: Don't worry about it too much\Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going? response:	Just because nobody else is home
context: Good luck with your chores\Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home response:	Why do I have to do something like this?
context: Yeah! Thanks\Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this? response:	Wood? A tree?
context: Well I'll see you at school tomorrow\Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this?\Wood? A tree? response:	This is a Clow Card
context: Yes until tomorrow\I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this?\Wood? A tree?\This is a Clow Card response:	Huh? It stopped
context: I'll bring a letter of apology on Monday\Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this?\Wood? A tree?\This is a Clow Card\Huh? It stopped response:	Kero-chan! Kero-chan!
context: Well then shall we get down to work\Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this?\Wood? A tree?\This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan! response:	Kero-chan I found a Clow card
context: Kero-chan how's it going?\Just because nobody else is home\Why do I have to do something like this?\Wood? A tree?\This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card response:	Huh?
context: Just because nobody else is home\Why do I have to do something like this?\Wood? A tree?\This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh? response:	He's not here
context: Why do I have to do something like this?\Wood? A tree?\This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh?\He's not here response:	Oh well
context: Wood? A tree?\This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh?\He's not here\Oh well response:	I'll brag about it later
context: This is a Clow Card\Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh?\He's not here\Oh well\I'll brag about it later response:	I'm spinning a lot today
context: Huh? It stopped\Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh?\He's not here\Oh well\I'll brag about it later\I'm spinning a lot today response:	I quit I quit I quit
context: Kero-chan! Kero-chan!\Kero-chan I found a Clow card\Huh?\He's not here\Oh well\I'll brag about it later\I'm spinning a lot today\I quit I quit I quit response:	Why should I must do such silly thing?
context: Kero-chan I found a Clow card\Huh?\He's not here\Oh well\I'll brag about it later\I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing? response:	Oh yeah!
context: Huh?\He's not here\Oh well\I'll brag about it later\I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing?\Oh yeah! response:	When this is done I'll have some ice cream with Kero-chan
context: He's not here\Oh well\I'll brag about it later\I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan response:	I guess there is no choice
context: Oh well\I'll brag about it later\I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice response:	I'll help a little more
context: I'll brag about it later\I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more response:	All right. This is the last place
context: I'm spinning a lot today\I quit I quit I quit\Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more\All right. This is the last place response:	It's covered in ink
context: I quit I quit I quit\Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more\All right. This is the last place\It's covered in ink response:	This is also a Clow Card
context: Why should I must do such silly thing?\Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more\All right. This is the last place\It's covered in ink\This is also a Clow Card response:	I'm lucky today
context: Oh yeah!\When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more\All right. This is the last place\It's covered in ink\This is also a Clow Card\I'm lucky today response:	To find two cards
context: When this is done I'll have some ice cream with Kero-chan\I guess there is no choice\I'll help a little more\All right. This is the last place\It's covered in ink\This is also a Clow Card\I'm lucky today\To find two cards response:	I have to wipe it off
context: I guess there is no choice\I'll help a little more\All right. This is the last place\It's covered in ink\This is also a Clow Card\I'm lucky today\To find two cards\I have to wipe it off response:	Towel Towel A wet towel
context: I'll help a little more\All right. This is the last place\It's covered in ink\This is also a Clow Card\I'm lucky today\To find two cards\I have to wipe it off\Towel Towel A wet towel response:	The phone
context: All right. This is the last place\It's covered in ink\This is also a Clow Card\I'm lucky today\To find two cards\I have to wipe it off\Towel Towel A wet towel\The phone response:	Yeah yeah I'm answering now
context: It's covered in ink\This is also a Clow Card\I'm lucky today\To find two cards\I have to wipe it off\Towel Towel A wet towel\The phone\Yeah yeah I'm answering now response:	Hello Kino
context: This is also a Clow Card\I'm lucky today\To find two cards\I have to wipe it off\Towel Towel A wet towel\The phone\Yeah yeah I'm answering now\Hello Kino response:	Sakura
context: I'm lucky today\To find two cards\I have to wipe it off\Towel Towel A wet towel\The phone\Yeah yeah I'm answering now\Hello Kino\Sakura response:	Yes? Dad?
context: To find two cards\I have to wipe it off\Towel Towel A wet towel\The phone\Yeah yeah I'm answering now\Hello Kino\Sakura\Yes? Dad? response:	Can you check if there is a blue folder on top of the kitchen table?
context: I have to wipe it off\Towel Towel A wet towel\The phone\Yeah yeah I'm answering now\Hello Kino\Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table? response:	There is
context: Towel Towel A wet towel\The phone\Yeah yeah I'm answering now\Hello Kino\Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is response:	Sorry can you bring that to the bus stop?
context: The phone\Yeah yeah I'm answering now\Hello Kino\Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop? response:	All my materials for the meeting are in there
context: Yeah yeah I'm answering now\Hello Kino\Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there response:	I'll leave right away
context: Hello Kino\Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away response:	Kero-chan I'm going out for a bit
context: Sakura\Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit response:	What?
context: Yes? Dad?\Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit\What? response:	See you later
context: Can you check if there is a blue folder on top of the kitchen table?\There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit\What?\See you later response:	Thank you!
context: There is\Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit\What?\See you later\Thank you! response:	Sakura-chan
context: Sorry can you bring that to the bus stop?\All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit\What?\See you later\Thank you!\Sakura-chan response:	Yukito-san
context: All my materials for the meeting are in there\I'll leave right away\Kero-chan I'm going out for a bit\What?\See you later\Thank you!\Sakura-chan\Yukito-san response:	That was your dad right now right?
context: I'll leave right away\Kero-chan I'm going out for a bit\What?\See you later\Thank you!\Sakura-chan\Yukito-san\That was your dad right now right? response:	An errand?
context: Kero-chan I'm going out for a bit\What?\See you later\Thank you!\Sakura-chan\Yukito-san\That was your dad right now right?\An errand? response:	Yes he forgot something so
context: What?\See you later\Thank you!\Sakura-chan\Yukito-san\That was your dad right now right?\An errand?\Yes he forgot something so response:	You delivered it? How nice!
context: See you later\Thank you!\Sakura-chan\Yukito-san\That was your dad right now right?\An errand?\Yes he forgot something so\You delivered it? How nice! response:	A uniform?
context: Thank you!\Sakura-chan\Yukito-san\That was your dad right now right?\An errand?\Yes he forgot something so\You delivered it? How nice!\A uniform? response:	There was a basketball game today
context: Sakura-chan\Yukito-san\That was your dad right now right?\An errand?\Yes he forgot something so\You delivered it? How nice!\A uniform?\There was a basketball game today response:	I was helping out a bit
context: Yukito-san\That was your dad right now right?\An errand?\Yes he forgot something so\You delivered it? How nice!\A uniform?\There was a basketball game today\I was helping out a bit response:	Yukito-san isn't really in any club
context: That was your dad right now right?\An errand?\Yes he forgot something so\You delivered it? How nice!\A uniform?\There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club response:	But sometimes he gets asked to play
context: An errand?\Yes he forgot something so\You delivered it? How nice!\A uniform?\There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play response:	just in games
context: Yes he forgot something so\You delivered it? How nice!\A uniform?\There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games response:	He's smart and can do anything
context: You delivered it? How nice!\A uniform?\There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games\He's smart and can do anything response:	It's wonderful!
context: A uniform?\There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games\He's smart and can do anything\It's wonderful! response:	Say Sakura-chan
context: There was a basketball game today\I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games\He's smart and can do anything\It's wonderful!\Say Sakura-chan response:	Have you had lunch yet?
context: I was helping out a bit\Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games\He's smart and can do anything\It's wonderful!\Say Sakura-chan\Have you had lunch yet? response:	No not yet.
context: Yukito-san isn't really in any club\But sometimes he gets asked to play\just in games\He's smart and can do anything\It's wonderful!\Say Sakura-chan\Have you had lunch yet?\No not yet. response:	Won't you eat with me? Over there
context: But sometimes he gets asked to play\just in games\He's smart and can do anything\It's wonderful!\Say Sakura-chan\Have you had lunch yet?\No not yet.\Won't you eat with me? Over there response:	Big brother
context: just in games\He's smart and can do anything\It's wonderful!\Say Sakura-chan\Have you had lunch yet?\No not yet.\Won't you eat with me? Over there\Big brother response:	Thanks
context: He's smart and can do anything\It's wonderful!\Say Sakura-chan\Have you had lunch yet?\No not yet.\Won't you eat with me? Over there\Big brother\Thanks response:	Three plates large helping
context: It's wonderful!\Say Sakura-chan\Have you had lunch yet?\No not yet.\Won't you eat with me? Over there\Big brother\Thanks\Three plates large helping response:	He eats three times as much as I do
context: Say Sakura-chan\Have you had lunch yet?\No not yet.\Won't you eat with me? Over there\Big brother\Thanks\Three plates large helping\He eats three times as much as I do response:	Th' Three times?
context: Have you had lunch yet?\No not yet.\Won't you eat with me? Over there\Big brother\Thanks\Three plates large helping\He eats three times as much as I do\Th' Three times? response:	You don't have to hold back
context: No not yet.\Won't you eat with me? Over there\Big brother\Thanks\Three plates large helping\He eats three times as much as I do\Th' Three times?\You don't have to hold back response:	It is my treat
context: Won't you eat with me? Over there\Big brother\Thanks\Three plates large helping\He eats three times as much as I do\Th' Three times?\You don't have to hold back\It is my treat response:	Kero-chan is waiting for me at home
context: Big brother\Thanks\Three plates large helping\He eats three times as much as I do\Th' Three times?\You don't have to hold back\It is my treat\Kero-chan is waiting for me at home response:	Kero-chan?
context: Thanks\Three plates large helping\He eats three times as much as I do\Th' Three times?\You don't have to hold back\It is my treat\Kero-chan is waiting for me at home\Kero-chan? response:	No Uh
context: Three plates large helping\He eats three times as much as I do\Th' Three times?\You don't have to hold back\It is my treat\Kero-chan is waiting for me at home\Kero-chan?\No Uh response:	It's good to eat a lot
