context: The Earth has a skin, response:	and that skin is plagued by many different things.
context: The Earth has a skin,\and that skin is plagued by many different things. response:	One of those plagues is humanity itself.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself. response:	We are that which cures the Earth of its plagues.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues. response:	We are the Council of the Seven Virtues.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues. response:	Born from the plague, but not of the plague.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague. response:	Number Zero.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero. response:	Hatate Souta.
context: The Earth has a skin,\and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero.\Hatate Souta. response:	A heretic that can perceive the flags,
context: and that skin is plagued by many different things.\One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero.\Hatate Souta.\A heretic that can perceive the flags, response:	and control fate with his own hands.
context: One of those plagues is humanity itself.\We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero.\Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands. response:	We must assess this heretic.
context: We are that which cures the Earth of its plagues.\We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero.\Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic. response:	Is he a true messenger of the Sacraments,
context: We are the Council of the Seven Virtues.\Born from the plague, but not of the plague.\Number Zero.\Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments, response:	or will he bring harm to this world?
context: Born from the plague, but not of the plague.\Number Zero.\Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world? response:	This will be dangerous.
context: Number Zero.\Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous. response:	Man is a ropea rope over an abyss.
context: Hatate Souta.\A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss. response:	A dangerous across, a dangerous on-the-way,
context: A heretic that can perceive the flags,\and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way, response:	a dangerous looking-back, a dangerous shuddering and stopping.
context: and control fate with his own hands.\We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping. response:	And I think he
context: We must assess this heretic.\Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he response:	represents the rope we see before us.
context: Is he a true messenger of the Sacraments,\or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us. response:	My name is Daimyouzamurai Mei.
context: or will he bring harm to this world?\This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei. response:	Nice to meet you all.
context: This will be dangerous.\Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all. response:	If Her Flag Breaks
context: Man is a ropea rope over an abyss.\A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks response:	Flag 6
context: A dangerous across, a dangerous on-the-way,\a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks\Flag 6 response:	Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.
context: a dangerous looking-back, a dangerous shuddering and stopping.\And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister. response:	Just ask me if you need anything.
context: And I think he\represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything. response:	If you have any boy trouble, I'll be glad to help.
context: represents the rope we see before us.\My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help. response:	I'm not interested in the opposite sex.
context: My name is Daimyouzamurai Mei.\Nice to meet you all.\If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex. response:	Yuri?!
context: Nice to meet you all.\If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?! response:	You want to get some crepes on the way back?
context: If Her Flag Breaks\Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back? response:	I'll buy.
context: Flag 6\Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back?\I'll buy. response:	I gain weight every time I eat too much.
context: Phew. Don't Scare Me Like That. I Guess You're Just a Little Sister.\Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much. response:	My boobs, anyway.
context: Just ask me if you need anything.\If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much.\My boobs, anyway. response:	The world's so unfair!
context: If you have any boy trouble, I'll be glad to help.\I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair! response:	A person with the same power as me...
context: I'm not interested in the opposite sex.\Yuri?!\You want to get some crepes on the way back?\I'll buy.\I gain weight every time I eat too much.\My boobs, anyway.\The world's so unfair!\A person with the same power as me... response:	Who is this girl?
