context: Damn. response:	Really, now!
context: Damn.\Really, now! response:	You've got a problem with that?
context: Damn.\Really, now!\You've got a problem with that? response:	Nope.
context: Damn.\Really, now!\You've got a problem with that?\Nope. response:	Hey!
context: Damn.\Really, now!\You've got a problem with that?\Nope.\Hey! response:	Hot. That was the first thing we felt when we went down to the fifth level.
context: Damn.\Really, now!\You've got a problem with that?\Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level. response:	It should be safer there.
context: Damn.\Really, now!\You've got a problem with that?\Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there. response:	Is this the resting area you were talking about?
context: Damn.\Really, now!\You've got a problem with that?\Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about? response:	This used to be a Temple of Lumiaris.
context: Really, now!\You've got a problem with that?\Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris. response:	Kobolds don't worship Lumiaris, so they rarely come here.
context: You've got a problem with that?\Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here. response:	Do you hear something...?
context: Nope.\Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...? response:	You idiot.
context: Hey!\Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot. response:	Don't talk to me about common sense.
context: Hot. That was the first thing we felt when we went down to the fifth level.\It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot.\Don't talk to me about common sense. response:	Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.
context: It should be safer there.\Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground. response:	It will be the same for all of us.
context: Is this the resting area you were talking about?\This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us. response:	And for me?
context: This used to be a Temple of Lumiaris.\Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me? response:	I can get one for one gold, but it takes time for them to grow up big.
context: Kobolds don't worship Lumiaris, so they rarely come here.\Do you hear something...?\You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big. response:	What was that?!
context: Do you hear something...?\You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?! response:	Look out! In front of you!
context: You idiot.\Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you! response:	Don't have to tell me twice!
context: Don't talk to me about common sense.\Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you!\Don't have to tell me twice! response:	You can stop.
context: Of Michiki, Og, Mutsumi, and all their equipment, only ash remained on the ground.\It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you!\Don't have to tell me twice!\You can stop. response:	That guy is out of control.
context: It will be the same for all of us.\And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you!\Don't have to tell me twice!\You can stop.\That guy is out of control. response:	Hurry!
context: And for me?\I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you!\Don't have to tell me twice!\You can stop.\That guy is out of control.\Hurry! response:	We can't have you die too, idiot!
context: I can get one for one gold, but it takes time for them to grow up big.\What was that?!\Look out! In front of you!\Don't have to tell me twice!\You can stop.\That guy is out of control.\Hurry!\We can't have you die too, idiot! response:	Go, hurry!
context: What was that?!\Look out! In front of you!\Don't have to tell me twice!\You can stop.\That guy is out of control.\Hurry!\We can't have you die too, idiot!\Go, hurry! response:	Ranta, you idiot!
context: Look out! In front of you!\Don't have to tell me twice!\You can stop.\That guy is out of control.\Hurry!\We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot! response:	You shouldn't be acting all noble.
context: Don't have to tell me twice!\You can stop.\That guy is out of control.\Hurry!\We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble. response:	You're Rantaf damn it!
context: You can stop.\That guy is out of control.\Hurry!\We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it! response:	What?
context: That guy is out of control.\Hurry!\We can't have you die too, idiot!\Go, hurry!\Ranta, you idiot!\You shouldn't be acting all noble.\You're Rantaf damn it!\What? response:	Man, I sounded just like a Dark Knight just now.
