context: The three of us, in our two-timing relationship, response:	started living together so we could grow closer.
context: The three of us, in our two-timing relationship,\started living together so we could grow closer. response:	Things were going well for a while, but Saki-chan's acting weird!
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird! response:	I can't...
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't... response:	I would be betraying Minase-san.
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san. response:	Huh? What's wrong?
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san.\Huh? What's wrong? response:	Wait!
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san.\Huh? What's wrong?\Wait! response:	Saki-chan has gone home, and she won't open up to me,
context: The three of us, in our two-timing relationship,\started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san.\Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me, response:	even if I give her what she loves: cake, games, or cat and dog videos.
context: started living together so we could grow closer.\Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san.\Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos. response:	I needed to find a way to talk to her!
context: Things were going well for a while, but Saki-chan's acting weird!\I can't...\I would be betraying Minase-san.\Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her! response:	And that's when Minase-san took one for the team!
context: I can't...\I would be betraying Minase-san.\Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team! response:	I'm not losing this opportunity!
context: I would be betraying Minase-san.\Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity! response:	Please, talk to me!
context: Huh? What's wrong?\Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me! response:	Saki-chan!
context: Wait!\Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me!\Saki-chan! response:	Do not try this at home
context: Saki-chan has gone home, and she won't open up to me,\even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me!\Saki-chan!\Do not try this at home response:	Why did you leave?
context: even if I give her what she loves: cake, games, or cat and dog videos.\I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me!\Saki-chan!\Do not try this at home\Why did you leave? response:	Saki-san...
context: I needed to find a way to talk to her!\And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me!\Saki-chan!\Do not try this at home\Why did you leave?\Saki-san... response:	Saki-chan...
context: And that's when Minase-san took one for the team!\I'm not losing this opportunity!\Please, talk to me!\Saki-chan!\Do not try this at home\Why did you leave?\Saki-san...\Saki-chan... response:	B-Because Nagisa-chan's...
context: I'm not losing this opportunity!\Please, talk to me!\Saki-chan!\Do not try this at home\Why did you leave?\Saki-san...\Saki-chan...\B-Because Nagisa-chan's... response:	better than me.
context: Please, talk to me!\Saki-chan!\Do not try this at home\Why did you leave?\Saki-san...\Saki-chan...\B-Because Nagisa-chan's...\better than me. response:	She tries so hard for you!
context: Saki-chan!\Do not try this at home\Why did you leave?\Saki-san...\Saki-chan...\B-Because Nagisa-chan's...\better than me.\She tries so hard for you! response:	She's even good at cooking!
