context: That's hot! Ouchie! response:	Calm down Menma.
context: That's hot! Ouchie!\Calm down Menma. response:	Here it comes!
context: That's hot! Ouchie!\Calm down Menma.\Here it comes! response:	Help yourselves.
context: That's hot! Ouchie!\Calm down Menma.\Here it comes!\Help yourselves. response:	She said'Help yourselves' and looks very proud.
context: That's hot! Ouchie!\Calm down Menma.\Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud. response:	Sorry.
context: That's hot! Ouchie!\Calm down Menma.\Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry. response:	I'm feeling chilly.
context: That's hot! Ouchie!\Calm down Menma.\Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly. response:	Cut it out. You're being creepy.
context: That's hot! Ouchie!\Calm down Menma.\Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly.\Cut it out. You're being creepy. response:	Go ahead.
context: Calm down Menma.\Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead. response:	You can have the biggest one because you're a big guy Poppo.
context: Here it comes!\Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo. response:	Here.
context: Help yourselves.\She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here. response:	She said you get it because you're the biggest one here.
context: She said'Help yourselves' and looks very proud.\Sorry.\I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here. response:	Yeah. Yeah, that's right.
context: Sorry.\I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right. response:	I've gotten really huge.
context: I'm feeling chilly.\Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge. response:	It's good. It tastes really good Menma!
context: Cut it out. You're being creepy.\Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma! response:	I'm so glad.
context: Go ahead.\You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad. response:	What about mine?
context: You can have the biggest one because you're a big guy Poppo.\Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad.\What about mine? response:	What's mine going to have the most of?
context: Here.\She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad.\What about mine?\What's mine going to have the most of? response:	Yours will have the most raisins.
context: She said you get it because you're the biggest one here.\Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad.\What about mine?\What's mine going to have the most of?\Yours will have the most raisins. response:	I never said that.
context: Yeah. Yeah, that's right.\I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad.\What about mine?\What's mine going to have the most of?\Yours will have the most raisins.\I never said that. response:	Menma.
context: I've gotten really huge.\It's good. It tastes really good Menma!\I'm so glad.\What about mine?\What's mine going to have the most of?\Yours will have the most raisins.\I never said that.\Menma. response:	I want you to tell me directly.
context: It's good. It tastes really good Menma!\I'm so glad.\What about mine?\What's mine going to have the most of?\Yours will have the most raisins.\I never said that.\Menma.\I want you to tell me directly. response:	Please tell me Menma.
context: I'm so glad.\What about mine?\What's mine going to have the most of?\Yours will have the most raisins.\I never said that.\Menma.\I want you to tell me directly.\Please tell me Menma. response:	Yukiatsu.
context: What about mine?\What's mine going to have the most of?\Yours will have the most raisins.\I never said that.\Menma.\I want you to tell me directly.\Please tell me Menma.\Yukiatsu. response:	Oh yeah! Let's see, here's some paper. And here's a pen.
context: What's mine going to have the most of?\Yours will have the most raisins.\I never said that.\Menma.\I want you to tell me directly.\Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen. response:	Now Menma can show how she feels.
context: Yours will have the most raisins.\I never said that.\Menma.\I want you to tell me directly.\Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels. response:	Let's see...
context: I never said that.\Menma.\I want you to tell me directly.\Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see... response:	What the? It doesn't work Jintan.
context: Menma.\I want you to tell me directly.\Please tell me Menma.\Yukiatsu.\Oh yeah! Let's see, here's some paper. And here's a pen.\Now Menma can show how she feels.\Let's see...\What the? It doesn't work Jintan. response:	Why is that? You could write in the diary.
