context: May I ask a question? response:	Queen to F3.
context: May I ask a question?\Queen to F3. response:	Shoot.
context: May I ask a question?\Queen to F3.\Shoot. response:	King to G7.
context: May I ask a question?\Queen to F3.\Shoot.\King to G7. response:	Is it a good idea to send me into battle?
context: May I ask a question?\Queen to F3.\Shoot.\King to G7.\Is it a good idea to send me into battle? response:	Rook to E4.
context: May I ask a question?\Queen to F3.\Shoot.\King to G7.\Is it a good idea to send me into battle?\Rook to E4. response:	If I die, the Deucalion's Aldnoah will shut down.
context: May I ask a question?\Queen to F3.\Shoot.\King to G7.\Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down. response:	I'm aware of that.
context: May I ask a question?\Queen to F3.\Shoot.\King to G7.\Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that. response:	Rook to D8.
context: Queen to F3.\Shoot.\King to G7.\Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8. response:	But we'll worry about that when we have to.
context: Shoot.\King to G7.\Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8.\But we'll worry about that when we have to. response:	Do you want to be removed from the front lines, Ensign Kaizuka?
context: King to G7.\Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka? response:	No.
context: Is it a good idea to send me into battle?\Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No. response:	I'll go into battle.
context: Rook to E4.\If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle. response:	Queen to F6, check.
context: If I die, the Deucalion's Aldnoah will shut down.\I'm aware of that.\Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle.\Queen to F6, check. response:	King to F6, king takes queen.
context: I'm aware of that.\Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle.\Queen to F6, check.\King to F6, king takes queen. response:	We're in agreement, then.
context: Rook to D8.\But we'll worry about that when we have to.\Do you want to be removed from the front lines, Ensign Kaizuka?\No.\I'll go into battle.\Queen to F6, check.\King to F6, king takes queen.\We're in agreement, then. response:	Bishop to E5, check.
