context: (Where did that even come from, right?) response:	I decided I'm going to confess to my crush.
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush. response:	I'm going to do it today.
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today. response:	By text.
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today.\By text. response:	Hey, Takase,
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today.\By text.\Hey, Takase, response:	I know I'm being a wuss,
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today.\By text.\Hey, Takase,\I know I'm being a wuss, response:	but I always freak out when I try to tell you in person,
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today.\By text.\Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person, response:	I like you.
context: (Where did that even come from, right?)\I decided I'm going to confess to my crush.\I'm going to do it today.\By text.\Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you. response:	delete delete delete...
context: I decided I'm going to confess to my crush.\I'm going to do it today.\By text.\Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you.\delete delete delete... response:	I can't.
context: I'm going to do it today.\By text.\Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you.\delete delete delete...\I can't. response:	Sender: No Subject
context: By text.\Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you.\delete delete delete...\I can't.\Sender: No Subject response:	Kanda Saki
context: Hey, Takase,\I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you.\delete delete delete...\I can't.\Sender: No Subject\Kanda Saki response:	What's up?
context: I know I'm being a wuss,\but I always freak out when I try to tell you in person,\I like you.\delete delete delete...\I can't.\Sender: No Subject\Kanda Saki\What's up? response:	It's from Kanda.
context: but I always freak out when I try to tell you in person,\I like you.\delete delete delete...\I can't.\Sender: No Subject\Kanda Saki\What's up?\It's from Kanda. response:	Crap, I'm nervous.
context: I like you.\delete delete delete...\I can't.\Sender: No Subject\Kanda Saki\What's up?\It's from Kanda.\Crap, I'm nervous. response:	Taking a dump.
context: delete delete delete...\I can't.\Sender: No Subject\Kanda Saki\What's up?\It's from Kanda.\Crap, I'm nervous.\Taking a dump. response:	Wait, no, she's a girl.
context: I can't.\Sender: No Subject\Kanda Saki\What's up?\It's from Kanda.\Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl. response:	Crap, I'm nervous.
context: Sender: No Subject\Kanda Saki\What's up?\It's from Kanda.\Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous. response:	I gotta do things in order.
context: Kanda Saki\What's up?\It's from Kanda.\Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order. response:	It's not a big deal,
context: What's up?\It's from Kanda.\Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order.\It's not a big deal, response:	Sender: Subject:
context: It's from Kanda.\Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order.\It's not a big deal,\Sender: Subject: response:	Kanda Saki
context: Crap, I'm nervous.\Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order.\It's not a big deal,\Sender: Subject:\Kanda Saki response:	It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()
context: Taking a dump.\Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order.\It's not a big deal,\Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? () response:	but you seem surprisingly popular with girls.
context: Wait, no, she's a girl.\Crap, I'm nervous.\I gotta do things in order.\It's not a big deal,\Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls. response:	But you don't have a girlfriend.
context: Crap, I'm nervous.\I gotta do things in order.\It's not a big deal,\Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend. response:	Why's that?
context: I gotta do things in order.\It's not a big deal,\Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that? response:	Are you gay?
context: It's not a big deal,\Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that?\Are you gay? response:	I'm not popular!
context: Sender: Subject:\Kanda Saki\It's not a big deal, but you seem surprisingly popular with girls. (Emphasis on surprisingly.) But you don't have a girlfriend. Why's that? Are you gay? ()\but you seem surprisingly popular with girls.\But you don't have a girlfriend.\Why's that?\Are you gay?\I'm not popular! response:	I'm not gay!
