context: I'm sorry. response:	I'm sorry, Tanaka-san.
context: I'm sorry.\I'm sorry, Tanaka-san. response:	Like I said, don't worry about it.
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it. response:	Never mind me. Are you all right?
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right? response:	Yes. I rested a little on the way here.
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here. response:	I feel better now that I'm off the bus.
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus. response:	All right, then.
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then. response:	We're counting on you for today's match.
context: I'm sorry.\I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match. response:	Do it just like the three-on-three.
context: I'm sorry, Tanaka-san.\Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match.\Do it just like the three-on-three. response:	Let me spike freely like that.
context: Like I said, don't worry about it.\Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that. response:	Tanaka.
context: Never mind me. Are you all right?\Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that.\Tanaka. response:	Don't pressure him.
context: Yes. I rested a little on the way here.\I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that.\Tanaka.\Don't pressure him. response:	What? What's that?
context: I feel better now that I'm off the bus.\All right, then.\We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that.\Tanaka.\Don't pressure him.\What? What's that? response:	I'll... I'll... I'll do my b...
context: All right, then.\We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that.\Tanaka.\Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b... response:	I'm going to the bathroom.
context: We're counting on you for today's match.\Do it just like the three-on-three.\Let me spike freely like that.\Tanaka.\Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom. response:	First the top, then the bottom!
context: Do it just like the three-on-three.\Let me spike freely like that.\Tanaka.\Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom! response:	You're a busy guy.
context: Let me spike freely like that.\Tanaka.\Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy. response:	There he goes again. How pathetic.
context: Tanaka.\Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic. response:	I'm going to knock some courage into him.
context: Don't pressure him.\What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him. response:	What are you thinking?
context: What? What's that?\I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking? response:	That kind of thing won't work on Hinata.
context: I'll... I'll... I'll do my b...\I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata. response:	But we won't know'til we try it.
context: I'm going to the bathroom.\First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it. response:	Tanaka! Keep this simpleton away from him.
context: First the top, then the bottom!\You're a busy guy.\There he goes again. How pathetic.\I'm going to knock some courage into him.\What are you thinking?\That kind of thing won't work on Hinata.\But we won't know'til we try it.\Tanaka! Keep this simpleton away from him. response:	Right.
