context: Those guys are freaks. response:	You really are a good little girl, Chane.
context: Those guys are freaks.\You really are a good little girl, Chane. response:	Here he is! This is the guy, isn't it?
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it? response:	Bingo!
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo! response:	Hey!
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo!\Hey! response:	Hey there!
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo!\Hey!\Hey there! response:	W-What's the matter, Nice?
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo!\Hey!\Hey there!\W-What's the matter, Nice? response:	Nothing. Just smiling about the past.
context: Those guys are freaks.\You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo!\Hey!\Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past. response:	Oh.
context: You really are a good little girl, Chane.\Here he is! This is the guy, isn't it?\Bingo!\Hey!\Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh. response:	Jacuzzi! We got an old miner friend I know
context: Here he is! This is the guy, isn't it?\Bingo!\Hey!\Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know response:	and a Hollywood movie engineer to buy that explosive under the table!
context: Bingo!\Hey!\Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table! response:	It came to S100,000.
context: Hey!\Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000. response:	S100,000! Isn't that incredible?
context: Hey there!\W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible? response:	And those ceramic grenades with the insides removed
context: W-What's the matter, Nice?\Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed response:	went for S200 each!
context: Nothing. Just smiling about the past.\Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each! response:	They did? That's great.
context: Oh.\Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great. response:	Be that as it may, Jacuzzi,
context: Jacuzzi! We got an old miner friend I know\and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi, response:	we've picked up on something that could mean trouble.
context: and a Hollywood movie engineer to buy that explosive under the table!\It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble. response:	Eh? What?
context: It came to S100,000.\S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What? response:	Someone was holding onto a box that was floating in the river.
context: S100,000! Isn't that incredible?\And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river. response:	A passenger, you might say.
context: And those ceramic grenades with the insides removed\went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say. response:	Boss, it was that one in the black dress.
context: went for S200 each!\They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress. response:	That woman?
context: They did? That's great.\Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress.\That woman? response:	-Yes. -Huh? An acquaintance?
context: Be that as it may, Jacuzzi,\we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance? response:	I wouldn't say acquaintance...
context: we've picked up on something that could mean trouble.\Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance... response:	Well, we do know her, you might say.
context: Eh? What?\Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say. response:	Anyhow, we couldn't turn her over to the police,
context: Someone was holding onto a box that was floating in the river.\A passenger, you might say.\Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police, response:	so we brought her here.
context: A passenger, you might say.\Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here. response:	You have? Well then, hurry and introduce her to me.
context: Boss, it was that one in the black dress.\That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me. response:	Yeah.
context: That woman?\-Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah. response:	Come on in!
context: -Yes. -Huh? An acquaintance?\I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah.\Come on in! response:	Hey there. I'm Jacuzzi Splot.
context: I wouldn't say acquaintance...\Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot. response:	Glad to have you here. What's your name?
context: Well, we do know her, you might say.\Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name? response:	They still won't let me out of here.
context: Anyhow, we couldn't turn her over to the police,\so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here. response:	Sorry. It seems like you're having to hang around here
context: so we brought her here.\You have? Well then, hurry and introduce her to me.\Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here response:	like a duty nurse because of me.
context: You have? Well then, hurry and introduce her to me.\Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me. response:	D-Don't pay any mind to me. You can read if you want to.
context: Yeah.\Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to. response:	I'm not all that interested in stuff like the papers.
context: Come on in!\Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers. response:	A-And by stuff like the papers, I wasn't in any way trying to make fun of you.
context: Hey there. I'm Jacuzzi Splot.\Glad to have you here. What's your name?\They still won't let me out of here.\Sorry. It seems like you're having to hang around here\like a duty nurse because of me.\D-Don't pay any mind to me. You can read if you want to.\I'm not all that interested in stuff like the papers.\A-And by stuff like the papers, I wasn't in any way trying to make fun of you. response:	Don't misunderstand, okay?
