context: What's going on? response:	Aren't you getting up way too early, Sakura?
context: What's going on?\Aren't you getting up way too early, Sakura? response:	Kero,
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero, response:	I was wondering if the recent incidents
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents response:	are related
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents\are related response:	to these new cards
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents\are related\to these new cards response:	And also related to Clow'
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents\are related\to these new cards\And also related to Clow' response:	Maybe'
context: What's going on?\Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents\are related\to these new cards\And also related to Clow'\Maybe' response:	If you keep feeling so gloomy,
context: Aren't you getting up way too early, Sakura?\Kero,\I was wondering if the recent incidents\are related\to these new cards\And also related to Clow'\Maybe'\If you keep feeling so gloomy, response:	you're gonna start getting youself sick.
context: Kero,\I was wondering if the recent incidents\are related\to these new cards\And also related to Clow'\Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick. response:	If strange things start happening again'
context: I was wondering if the recent incidents\are related\to these new cards\And also related to Clow'\Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again' response:	What's gonna happen
context: are related\to these new cards\And also related to Clow'\Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen response:	if you're not feeling well
context: to these new cards\And also related to Clow'\Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen\if you're not feeling well response:	You're right. If anything's gonna happen,
context: And also related to Clow'\Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen, response:	I gotta do the best
context: Maybe'\If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best response:	I can with my cards.
context: If you keep feeling so gloomy,\you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best\I can with my cards. response:	All right! And on that note,
context: you're gonna start getting youself sick.\If strange things start happening again'\What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best\I can with my cards.\All right! And on that note, response:	cheer up and go to school!
context: If strange things start happening again'\What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best\I can with my cards.\All right! And on that note,\cheer up and go to school! response:	I'm leaving.
context: What's gonna happen\if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best\I can with my cards.\All right! And on that note,\cheer up and go to school!\I'm leaving. response:	Well, it can't be helped since I got here so early.
context: if you're not feeling well\You're right. If anything's gonna happen,\I gotta do the best\I can with my cards.\All right! And on that note,\cheer up and go to school!\I'm leaving.\Well, it can't be helped since I got here so early. response:	Come to think of it,
