context: Inbox response:	Email Received
context: Inbox\Email Received response:	New Emails
context: Inbox\Email Received\New Emails response:	No Subject
context: Inbox\Email Received\New Emails\No Subject response:	Takanashi Rikka
context: Inbox\Email Received\New Emails\No Subject\Takanashi Rikka response:	Message
context: Inbox\Email Received\New Emails\No Subject\Takanashi Rikka\Message response:	O kay.
context: Inbox\Email Received\New Emails\No Subject\Takanashi Rikka\Message\O kay. response:	O kay.
context: Inbox\Email Received\New Emails\No Subject\Takanashi Rikka\Message\O kay.\O kay. response:	Okay.
context: Email Received\New Emails\No Subject\Takanashi Rikka\Message\O kay.\O kay.\Okay. response:	Mr. Togashi Yuuta
context: New Emails\No Subject\Takanashi Rikka\Message\O kay.\O kay.\Okay.\Mr. Togashi Yuuta response:	On Patrol
context: No Subject\Takanashi Rikka\Message\O kay.\O kay.\Okay.\Mr. Togashi Yuuta\On Patrol response:	Rikka.
context: Takanashi Rikka\Message\O kay.\O kay.\Okay.\Mr. Togashi Yuuta\On Patrol\Rikka. response:	Mom wants you to come say goodbye to Dad.
context: Message\O kay.\O kay.\Okay.\Mr. Togashi Yuuta\On Patrol\Rikka.\Mom wants you to come say goodbye to Dad. response:	This is the last chance you'll have to physically touch him.
context: O kay.\O kay.\Okay.\Mr. Togashi Yuuta\On Patrol\Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him. response:	Please take the time to do so.
context: O kay.\Okay.\Mr. Togashi Yuuta\On Patrol\Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so. response:	You okay?
context: Okay.\Mr. Togashi Yuuta\On Patrol\Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay? response:	Yeah. I'll be fine.
context: Mr. Togashi Yuuta\On Patrol\Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay?\Yeah. I'll be fine. response:	It's cold.
context: On Patrol\Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay?\Yeah. I'll be fine.\It's cold. response:	Why don't you wash it?
context: Rikka.\Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay?\Yeah. I'll be fine.\It's cold.\Why don't you wash it? response:	If you just pour it from the top, Dad's gonna get cold.
context: Mom wants you to come say goodbye to Dad.\This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay?\Yeah. I'll be fine.\It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold. response:	Dad...
context: This is the last chance you'll have to physically touch him.\Please take the time to do so.\You okay?\Yeah. I'll be fine.\It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad... response:	Oh, morning.
context: Please take the time to do so.\You okay?\Yeah. I'll be fine.\It's cold.\Why don't you wash it?\If you just pour it from the top, Dad's gonna get cold.\Dad...\Oh, morning. response:	There's a letter for you.
