context: That girl still believes in the future. response:	How's the audience tonight, X22?
context: That girl still believes in the future.\How's the audience tonight, X22? response:	Jam-packed.
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed. response:	Good to know.
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed.\Good to know. response:	No surprise. Your songs are the best, Eleanor.
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor. response:	You are always on my side.
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side. response:	Forever...
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever... response:	Only we could use that word.
context: That girl still believes in the future.\How's the audience tonight, X22?\Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever...\Only we could use that word. response:	Forever.
context: How's the audience tonight, X22?\Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever...\Only we could use that word.\Forever. response:	Desertion is unacceptable!
context: Jam-packed.\Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever...\Only we could use that word.\Forever.\Desertion is unacceptable! response:	Let me go, please, Jay!
context: Good to know.\No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever...\Only we could use that word.\Forever.\Desertion is unacceptable!\Let me go, please, Jay! response:	I cannot.
context: No surprise. Your songs are the best, Eleanor.\You are always on my side.\Forever...\Only we could use that word.\Forever.\Desertion is unacceptable!\Let me go, please, Jay!\I cannot. response:	You're an old model, but you are the best captain in our troop.
context: You are always on my side.\Forever...\Only we could use that word.\Forever.\Desertion is unacceptable!\Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop. response:	I cannot simply let you go and defect to the enemy.
context: Forever...\Only we could use that word.\Forever.\Desertion is unacceptable!\Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy. response:	I admit. You are good team mate.
context: Only we could use that word.\Forever.\Desertion is unacceptable!\Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate. response:	You never look down on an old model like me.
context: Forever.\Desertion is unacceptable!\Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me. response:	You treated me as your equal.
context: Desertion is unacceptable!\Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal. response:	For that I thank you.
context: Let me go, please, Jay!\I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal.\For that I thank you. response:	If so, you understand my situation.
context: I cannot.\You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal.\For that I thank you.\If so, you understand my situation. response:	I am sorry.
context: You're an old model, but you are the best captain in our troop.\I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal.\For that I thank you.\If so, you understand my situation.\I am sorry. response:	X22!
context: I cannot simply let you go and defect to the enemy.\I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal.\For that I thank you.\If so, you understand my situation.\I am sorry.\X22! response:	Come back! X22!
context: I admit. You are good team mate.\You never look down on an old model like me.\You treated me as your equal.\For that I thank you.\If so, you understand my situation.\I am sorry.\X22!\Come back! X22! response:	What is going on, calling me out to a place like this?
context: You never look down on an old model like me.\You treated me as your equal.\For that I thank you.\If so, you understand my situation.\I am sorry.\X22!\Come back! X22!\What is going on, calling me out to a place like this? response:	Don't tell me you were a spy.
context: You treated me as your equal.\For that I thank you.\If so, you understand my situation.\I am sorry.\X22!\Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy. response:	Say something!
context: For that I thank you.\If so, you understand my situation.\I am sorry.\X22!\Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something! response:	X22,
context: If so, you understand my situation.\I am sorry.\X22!\Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something!\X22, response:	Captain of Mechanized Corp, General Office,
context: I am sorry.\X22!\Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something!\X22,\Captain of Mechanized Corp, General Office, response:	murdered 2000 soldiers at the battle of Zelbia,
context: X22!\Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something!\X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia, response:	4500 in Grogia,
context: Come back! X22!\What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something!\X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia, response:	and 9800 in Gene Delta.
context: What is going on, calling me out to a place like this?\Don't tell me you were a spy.\Say something!\X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta. response:	You know a lot.
context: Don't tell me you were a spy.\Say something!\X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta.\You know a lot. response:	Such a war hero ended up as a traitor with a price on your head.
context: Say something!\X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head. response:	How much is that price on your head?
context: X22,\Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head? response:	Tell me how it feels to be a wanted
context: Captain of Mechanized Corp, General Office,\murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted response:	by both humans and machines.
context: murdered 2000 soldiers at the battle of Zelbia,\4500 in Grogia,\and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines. response:	Be sure to get your 10 million.
context: 4500 in Grogia,\and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million. response:	Thanks, but I am not interested in nickels and dimes.
context: and 9800 in Gene Delta.\You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes. response:	What I am interested in is...
context: You know a lot.\Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is... response:	The reason you have not killed me so far.
context: Such a war hero ended up as a traitor with a price on your head.\How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far. response:	Is that all?
context: How much is that price on your head?\Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far.\Is that all? response:	Yeah.
context: Tell me how it feels to be a wanted\by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far.\Is that all?\Yeah. response:	I know I can't kill you with a gun like this.
context: by both humans and machines.\Be sure to get your 10 million.\Thanks, but I am not interested in nickels and dimes.\What I am interested in is...\The reason you have not killed me so far.\Is that all?\Yeah.\I know I can't kill you with a gun like this. response:	Killing us is just as easy for you as killing a fly.
