context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void response:	was filled with over a billion galaxies, each with over a billion stars.
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars. response:	A miracle?
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle? response:	Yes. The miracle of our meeting above this world.
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world. response:	Silvie!
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world.\Silvie! response:	Now we begin to walk a new path.
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path. response:	Skies of Aquaria again?
context: Apollon, do you remember the day the world began?\Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path.\Skies of Aquaria again? response:	Sorry, sir! I'll clean up right
context: Due to a miracle, the sacred and formless void\was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right response:	You're the only reason it keeps getting shown, you know.
context: was filled with over a billion galaxies, each with over a billion stars.\A miracle?\Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know. response:	No one else cares about it one bit.
context: A miracle?\Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit. response:	I'll never forget how lovely you smell.
context: Yes. The miracle of our meeting above this world.\Silvie!\Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell. response:	What do you like so much about this movie, anyway?
context: Silvie!\Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway? response:	I bet you fancy Alisia, the girl who played Silvie.
context: Now we begin to walk a new path.\Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie. response:	You can't just watch as destiny flies off...
context: Skies of Aquaria again?\Sorry, sir! I'll clean up right\You're the only reason it keeps getting shown, you know.\No one else cares about it one bit.\I'll never forget how lovely you smell.\What do you like so much about this movie, anyway?\I bet you fancy Alisia, the girl who played Silvie.\You can't just watch as destiny flies off... response:	When I see her, that's all I can think.
