context: Are you awake, new king chosen by Eve? response:	Tsutsugami Gai...
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai... response:	King?
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King? response:	Mana will be reborn in Cocytus shortly.
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly. response:	This is the law of nature.
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly.\This is the law of nature. response:	The will of the human race to evolve.
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve. response:	You are about to become king.
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve.\You are about to become king. response:	Neither you nor we can stop it.
context: Are you awake, new king chosen by Eve?\Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it. response:	And neither can Mana.
context: Tsutsugami Gai...\King?\Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it.\And neither can Mana. response:	So, my battle is not allowed to end?
context: King?\Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end? response:	Master Gai, United Nations forces have begun advancing on Ward 24.
context: Mana will be reborn in Cocytus shortly.\This is the law of nature.\The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24. response:	All right. Stand by until I get there.
context: This is the law of nature.\The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there. response:	Yes, sir.
context: The will of the human race to evolve.\You are about to become king.\Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir. response:	Are you sad, Gai?
context: You are about to become king.\Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai? response:	What makes you think that?
context: Neither you nor we can stop it.\And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai?\What makes you think that? response:	Just now... it felt like your heart touched me.
context: And neither can Mana.\So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me. response:	I'm not sad in the least.
context: So, my battle is not allowed to end?\Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least. response:	My wish is going to come true at last.
context: Master Gai, United Nations forces have begun advancing on Ward 24.\All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last. response:	The reality of the destruction around us fills our mind
context: All right. Stand by until I get there.\Yes, sir.\Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: Yes, sir.\Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: Are you sad, Gai?\What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: What makes you think that?\Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Just now... it felt like your heart touched me.\I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: I'm not sad in the least.\My wish is going to come true at last.\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
