context: We're almost done with this area. response:	We missed two platoons or so.
context: We're almost done with this area.\We missed two platoons or so. response:	Watch for them.
context: We're almost done with this area.\We missed two platoons or so.\Watch for them. response:	Roger.
context: We're almost done with this area.\We missed two platoons or so.\Watch for them.\Roger. response:	Message from Naotsugu.
context: We're almost done with this area.\We missed two platoons or so.\Watch for them.\Roger.\Message from Naotsugu. response:	The enemy might be approaching.
context: We're almost done with this area.\We missed two platoons or so.\Watch for them.\Roger.\Message from Naotsugu.\The enemy might be approaching. response:	I'll report once I have visual.
context: We're almost done with this area.\We missed two platoons or so.\Watch for them.\Roger.\Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual. response:	Tohya!
context: We're almost done with this area.\We missed two platoons or so.\Watch for them.\Roger.\Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual.\Tohya! response:	Lure them out! Got it!
context: We missed two platoons or so.\Watch for them.\Roger.\Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual.\Tohya!\Lure them out! Got it! response:	But how far can Miss Minori see in this darkness?
context: Watch for them.\Roger.\Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual.\Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness? response:	She's using magic eye drops that Naotsugu lent her.
context: Roger.\Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual.\Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her. response:	She should be able to see like a cat for a full day.
context: Message from Naotsugu.\The enemy might be approaching.\I'll report once I have visual.\Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day. response:	So far, it's all gone according to plan.
context: The enemy might be approaching.\I'll report once I have visual.\Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan. response:	It has to go well.
context: I'll report once I have visual.\Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well. response:	I forced everyone into agreeing with me.
context: Tohya!\Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me. response:	A night attack?
context: Lure them out! Got it!\But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me.\A night attack? response:	What are you talking about?
context: But how far can Miss Minori see in this darkness?\She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me.\A night attack?\What are you talking about? response:	You said you were just getting them to evacuate!
context: She's using magic eye drops that Naotsugu lent her.\She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me.\A night attack?\What are you talking about?\You said you were just getting them to evacuate! response:	Those kids can't protect the city alone...
context: She should be able to see like a cat for a full day.\So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me.\A night attack?\What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone... response:	No, they didn't say they could.
context: So far, it's all gone according to plan.\It has to go well.\I forced everyone into agreeing with me.\A night attack?\What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could. response:	That's why they're attacking.
context: It has to go well.\I forced everyone into agreeing with me.\A night attack?\What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking. response:	What?
context: I forced everyone into agreeing with me.\A night attack?\What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking.\What? response:	The goblins aren't protecting anything.
context: A night attack?\What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking.\What?\The goblins aren't protecting anything. response:	If we worry about protecting something, we can't beat them.
context: What are you talking about?\You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking.\What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them. response:	So we attack them.
context: You said you were just getting them to evacuate!\Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking.\What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them. response:	That's the plan.
context: Those kids can't protect the city alone...\No, they didn't say they could.\That's why they're attacking.\What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan. response:	But...
context: No, they didn't say they could.\That's why they're attacking.\What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan.\But... response:	And when they're attacked, they'll get spooked.
context: That's why they're attacking.\What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan.\But...\And when they're attacked, they'll get spooked. response:	They aren't well-trained, so that'll slow them down.
context: What?\The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan.\But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down. response:	And their attacks will be more sporadic and more easily defended.
context: The goblins aren't protecting anything.\If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan.\But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended. response:	Honestly, it isn't a bad strategy.
context: If we worry about protecting something, we can't beat them.\So we attack them.\That's the plan.\But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy. response:	Yeah, that's it.
context: So we attack them.\That's the plan.\But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it. response:	We'll be with them. Don't worry.
context: That's the plan.\But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry. response:	It's going to be a long night.
context: But...\And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night. response:	Yeah.
context: And when they're attacked, they'll get spooked.\They aren't well-trained, so that'll slow them down.\And their attacks will be more sporadic and more easily defended.\Honestly, it isn't a bad strategy.\Yeah, that's it.\We'll be with them. Don't worry.\It's going to be a long night.\Yeah. response:	But we aren't alone, are we?
