context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	Our full-on conflict with Phantom Lord had begun!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun! response:	But in the middle of it Lucy was captured, and the master lost his magical powers!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers! response:	We're in trouble!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers!\We're in trouble! response:	Although we managed to rescue Lucy somehow...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers!\We're in trouble!\Although we managed to rescue Lucy somehow... response:	I love Fairy Tail!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers!\We're in trouble!\Although we managed to rescue Lucy somehow...\I love Fairy Tail! response:	That's right, we can do it!
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers!\We're in trouble!\Although we managed to rescue Lucy somehow...\I love Fairy Tail!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: Previously on Fairy Tail!\Our full-on conflict with Phantom Lord had begun!\But in the middle of it Lucy was captured, and the master lost his magical powers!\We're in trouble!\Although we managed to rescue Lucy somehow...\I love Fairy Tail!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
