context: I can't hear... response:	Did Uroko-sama just fart?
context: I can't hear...\Did Uroko-sama just fart? response:	Why the hell are farts all you ever hear?
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear? response:	Shh!
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh! response:	Hikari!
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh!\Hikari! response:	We heard about Akari-san...
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh!\Hikari!\We heard about Akari-san... response:	Shh!
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh!\Hikari!\We heard about Akari-san...\Shh! response:	Akari...
context: I can't hear...\Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh!\Hikari!\We heard about Akari-san...\Shh!\Akari... response:	Episode 3: The Tradition of the Sea
context: Did Uroko-sama just fart?\Why the hell are farts all you ever hear?\Shh!\Hikari!\We heard about Akari-san...\Shh!\Akari...\Episode 3: The Tradition of the Sea response:	Thank you, Namiji Junior High
context: Why the hell are farts all you ever hear?\Shh!\Hikari!\We heard about Akari-san...\Shh!\Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High response:	There's saltflake snow even in the classroom...
context: Shh!\Hikari!\We heard about Akari-san...\Shh!\Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom... response:	Entrance Ceremony
context: Hikari!\We heard about Akari-san...\Shh!\Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony response:	Old Man Hayakawa is always so nice...
context: We heard about Akari-san...\Shh!\Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice... response:	Why did he seem so scary...
context: Shh!\Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary... response:	They were talking about the rules of the village.
context: Akari...\Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village. response:	There might be some reason that people get banished.
context: Episode 3: The Tradition of the Sea\Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished. response:	Who the hell cares about that?
context: Thank you, Namiji Junior High\There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that? response:	This is all Akari's guy's fault.
context: There's saltflake snow even in the classroom...\Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault. response:	But he seemed nice.
context: Entrance Ceremony\Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice. response:	Chisaki, your taste in guys sucks.
context: Old Man Hayakawa is always so nice...\Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks. response:	Ain't that the truth...
context: Why did he seem so scary...\They were talking about the rules of the village.\There might be some reason that people get banished.\Who the hell cares about that?\This is all Akari's guy's fault.\But he seemed nice.\Chisaki, your taste in guys sucks.\Ain't that the truth... response:	Damn it.
