context: This is bad... Very bad... response:	Subaru? What's wrong?
context: This is bad... Very bad...\Subaru? What's wrong? response:	Ah, I see. This is where they suck you in.
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in. response:	No... Run! Hurry!
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry! response:	Miso Natto
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto response:	Nah, not natto.
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto\Nah, not natto. response:	Wait there...
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto\Nah, not natto.\Wait there... response:	That'll be 363 yen.
context: This is bad... Very bad...\Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto\Nah, not natto.\Wait there...\That'll be 363 yen. response:	Oh, a grooved-edge ten.
context: Subaru? What's wrong?\Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto\Nah, not natto.\Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten. response:	I'm...
context: Ah, I see. This is where they suck you in.\No... Run! Hurry!\Miso Natto\Nah, not natto.\Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten.\I'm... response:	going to...
context: No... Run! Hurry!\Miso Natto\Nah, not natto.\Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten.\I'm...\going to... response:	save you...
context: Miso Natto\Nah, not natto.\Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten.\I'm...\going to...\save you... response:	I guess anyone's eyes would be tired after holing up in their room, gaming all day.
context: Nah, not natto.\Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten.\I'm...\going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day. response:	What's going on?
context: Wait there...\That'll be 363 yen.\Oh, a grooved-edge ten.\I'm...\going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on? response:	This stuff obviously isn't fake.
context: That'll be 363 yen.\Oh, a grooved-edge ten.\I'm...\going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake. response:	Which means...
context: Oh, a grooved-edge ten.\I'm...\going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake.\Which means... response:	So does this mean...
context: I'm...\going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake.\Which means...\So does this mean... response:	I've been summoned into a parallel world?!
context: going to...\save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake.\Which means...\So does this mean...\I've been summoned into a parallel world?! response:	I guess I can assume this is a fantasy world
context: save you...\I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake.\Which means...\So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world response:	with the typical medieval-style culture.
context: I guess anyone's eyes would be tired after holing up in their room, gaming all day.\What's going on?\This stuff obviously isn't fake.\Which means...\So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture. response:	A realm where demihumans are commonplace,
context: What's going on?\This stuff obviously isn't fake.\Which means...\So does this mean...\I've been summoned into a parallel world?!\I guess I can assume this is a fantasy world\with the typical medieval-style culture.\A realm where demihumans are commonplace, response:	and probably stuff like wars and adventures, as well.
