context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	Will set out on their journey as the war rages on.
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on. response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	The Macross has been practically banished from Earth.
context: and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross has been practically banished from Earth. response:	However, the morale of the civilians onboard was high enough
context: Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough response:	to permit the completion of the kung-fu movie, Shao Pai Long.
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long. response:	Tonight, a party is being held on the eve of the film's premiere.
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere. response:	MICRO COSMOS
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS response:	Hikaru, what are you doing these days?
context: Macross! Macross!\Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days? response:	I haven't seen you for ages.
context: Macross!\The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages. response:	And what is the star of tonight's party doing out here all alone?
context: The Macross has been practically banished from Earth.\However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone? response:	And what is my manager doing drinking too much vodka?
context: However, the morale of the civilians onboard was high enough\to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka? response:	You can't call this too much.
context: to permit the completion of the kung-fu movie, Shao Pai Long.\Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much. response:	Too much is when I see two of you,
context: Tonight, a party is being held on the eve of the film's premiere.\MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you, response:	which would make me extremely, outrageously happy!
context: MICRO COSMOS\Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy! response:	Because I'd be twice as pretty?
context: Hikaru, what are you doing these days?\I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty? response:	Nah, no way.
context: I haven't seen you for ages.\And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way. response:	Because I could schedule you for twice as much!
context: And what is the star of tonight's party doing out here all alone?\And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much! response:	I'm joking, I'm joking.
context: And what is my manager doing drinking too much vodka?\You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking. response:	Now come inside before you catch a cold.
context: You can't call this too much.\Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold. response:	I'm so tired.
context: Too much is when I see two of you,\which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired. response:	Tired? Well, no more getting sick.
context: which would make me extremely, outrageously happy!\Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick. response:	That last time was bad enough!
context: Because I'd be twice as pretty?\Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough! response:	No, I meant tired of all this.
context: Nah, no way.\Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this. response:	Aah, you're just feeling blue because the movie's done
context: Because I could schedule you for twice as much!\I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done response:	and your schedule's wound down a bit.
context: I'm joking, I'm joking.\Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit. response:	That's not quite it.
context: Now come inside before you catch a cold.\I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it. response:	I know! Can I get a seat reserved for the premiere?
context: I'm so tired.\Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere? response:	But that's tomorrow! And it's already so late...
context: Tired? Well, no more getting sick.\That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late... response:	You really can't?
context: That last time was bad enough!\No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't? response:	I'll figure something out. Just wait, I'll get you that seat!
context: No, I meant tired of all this.\Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat! response:	See you!
context: Aah, you're just feeling blue because the movie's done\and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you! response:	A seat reserved for the premiere. A great idea if I say so myself!
context: and your schedule's wound down a bit.\That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself! response:	Ah, Miss Minmay, our big star.
context: That's not quite it.\I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star. response:	It is I, Jamis the villain.
context: I know! Can I get a seat reserved for the premiere?\But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain. response:	I'm so sorry! I almost ruined your lovely dress, didn't I?
context: But that's tomorrow! And it's already so late...\You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I? response:	No, it's...
context: You really can't?\I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's... response:	But it was quite expensive, wasn't it?
context: I'll figure something out. Just wait, I'll get you that seat!\See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it? response:	Not as expensive as mine, but...
context: See you!\A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but... response:	Oh, Jamis, dear!
context: A seat reserved for the premiere. A great idea if I say so myself!\Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear! response:	C'mon, Jamis! Let's go!
context: Ah, Miss Minmay, our big star.\It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go! response:	Yes, I'm coming, Mr. Company President!
context: It is I, Jamis the villain.\I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go!\Yes, I'm coming, Mr. Company President! response:	Oh, is that Minmay?
context: I'm so sorry! I almost ruined your lovely dress, didn't I?\No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go!\Yes, I'm coming, Mr. Company President!\Oh, is that Minmay? response:	Oh, let's leave the child alone.
context: No, it's...\But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go!\Yes, I'm coming, Mr. Company President!\Oh, is that Minmay?\Oh, let's leave the child alone. response:	Adults should keep the company of adults, yes?
context: But it was quite expensive, wasn't it?\Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go!\Yes, I'm coming, Mr. Company President!\Oh, is that Minmay?\Oh, let's leave the child alone.\Adults should keep the company of adults, yes? response:	That's another thing that's making me tired.
context: Not as expensive as mine, but...\Oh, Jamis, dear!\C'mon, Jamis! Let's go!\Yes, I'm coming, Mr. Company President!\Oh, is that Minmay?\Oh, let's leave the child alone.\Adults should keep the company of adults, yes?\That's another thing that's making me tired. response:	Minmay! I got a message from your manager.
