context: I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Crybaby Usagi's Magnificent Transformation
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation response:	I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade. response:	I'm just a little clumsy and a bit of a crybaby. That's about it.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it. response:	Usagi! It's past eight o'clock!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock! response:	Why didn't you wake me up earlier?! Thanks a lot, Mom!
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom! response:	I tried many times. You answered each time, remember?
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember? response:	I don't remember!
context: I believe in it, miracle romance\Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember! response:	Oh, Usagi...
context: Crybaby Usagi's Magnificent Transformation\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi... response:	What? I'm in a hurry! Oh, Usagi...
context: I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi... response:	What? I'm in a hurry!
context: I'm just a little clumsy and a bit of a crybaby. That's about it.\Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry! response:	Don't you want your lunch?
context: Usagi! It's past eight o'clock!\Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch? response:	Uh, yes...
context: Why didn't you wake me up earlier?! Thanks a lot, Mom!\I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch?\Uh, yes... response:	I'm leaving!
context: I tried many times. You answered each time, remember?\I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch?\Uh, yes...\I'm leaving! response:	Why does morning have to come?
context: I don't remember!\Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch?\Uh, yes...\I'm leaving!\Why does morning have to come? response:	I'm so sleepy.
context: Oh, Usagi...\What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch?\Uh, yes...\I'm leaving!\Why does morning have to come?\I'm so sleepy. response:	Get the cat! Yeah!
context: What? I'm in a hurry! Oh, Usagi...\What? I'm in a hurry!\Don't you want your lunch?\Uh, yes...\I'm leaving!\Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah! response:	Hey cat, bark!
context: What? I'm in a hurry!\Don't you want your lunch?\Uh, yes...\I'm leaving!\Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark! response:	Hey! Stop it!
context: Don't you want your lunch?\Uh, yes...\I'm leaving!\Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it! response:	I can't believe it.
context: Uh, yes...\I'm leaving!\Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it!\I can't believe it. response:	Poor kitty. It's okay now.
context: I'm leaving!\Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now. response:	Oh, did they put a band-aid on you?
context: Why does morning have to come?\I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you? response:	You want me to take it off? Here.
context: I'm so sleepy.\Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here. response:	But it did kind of suit you though.
context: Get the cat! Yeah!\Hey cat, bark!\Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though. response:	Wha? A crescent shaped bald spot?
context: Hey cat, bark!\Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot? response:	Oh! I don't have time for this!
context: Hey! Stop it!\I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this! response:	Juban Municipal Junior High School
context: I can't believe it.\Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School response:	Usagi Tsukino! You're late again! Juban Municipal Junior High School
context: Poor kitty. It's okay now.\Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School response:	Juban Municipal Junior High School
context: Oh, did they put a band-aid on you?\You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School response:	It's so mean, how could they make a fragile girl stand in the hall?
context: You want me to take it off? Here.\But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall? response:	I'm hungry.
context: But it did kind of suit you though.\Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry. response:	I did skip breakfast, so... time to eat!
context: Wha? A crescent shaped bald spot?\Oh! I don't have time for this!\Juban Municipal Junior High School\Usagi Tsukino! You're late again! Juban Municipal Junior High School\Juban Municipal Junior High School\It's so mean, how could they make a fragile girl stand in the hall?\I'm hungry.\I did skip breakfast, so... time to eat! response:	What are you doing, Miss Tsukino?!
