context: Here. response:	Why did she have to glare at us like that?
context: Here.\Why did she have to glare at us like that? response:	Just because we're going on a trip doesn't mean we've done something wrong.
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong. response:	I think that's just her job.
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job. response:	Yeah, yeah! It was crazy!
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy! response:	So? So? What happened?
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened? response:	A plane!
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened?\A plane! response:	Is this the plane we're taking?
context: Here.\Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened?\A plane!\Is this the plane we're taking? response:	I think so.
context: Why did she have to glare at us like that?\Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened?\A plane!\Is this the plane we're taking?\I think so. response:	Will it really fly?
context: Just because we're going on a trip doesn't mean we've done something wrong.\I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened?\A plane!\Is this the plane we're taking?\I think so.\Will it really fly? response:	I always dreamed about being a plane!
context: I think that's just her job.\Yeah, yeah! It was crazy!\So? So? What happened?\A plane!\Is this the plane we're taking?\I think so.\Will it really fly?\I always dreamed about being a plane! response:	Being a plane?
context: Yeah, yeah! It was crazy!\So? So? What happened?\A plane!\Is this the plane we're taking?\I think so.\Will it really fly?\I always dreamed about being a plane!\Being a plane? response:	Yes, being a plane!
context: So? So? What happened?\A plane!\Is this the plane we're taking?\I think so.\Will it really fly?\I always dreamed about being a plane!\Being a plane?\Yes, being a plane! response:	A Place Further Than the Universe
context: A plane!\Is this the plane we're taking?\I think so.\Will it really fly?\I always dreamed about being a plane!\Being a plane?\Yes, being a plane!\A Place Further Than the Universe response:	ExtraLargeHelping SexyPinUp 24Hours
context: Is this the plane we're taking?\I think so.\Will it really fly?\I always dreamed about being a plane!\Being a plane?\Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours response:	4 Likes 3 Comments
context: I think so.\Will it really fly?\I always dreamed about being a plane!\Being a plane?\Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments response:	Dear Mom
context: Will it really fly?\I always dreamed about being a plane!\Being a plane?\Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom response:	Dear Mom Dear Mom
context: I always dreamed about being a plane!\Being a plane?\Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom response:	What?
context: Being a plane?\Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom\What? response:	It means the plane has stabilized and you can walk around.
context: Yes, being a plane!\A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around. response:	Yes!
context: A Place Further Than the Universe\ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around.\Yes! response:	I'm so nervous...
context: ExtraLargeHelping SexyPinUp 24Hours\4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous... response:	I didn't realize this was your first time on a plane, Shirase!
context: 4 Likes 3 Comments\Dear Mom\Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase! response:	I watched my mother fly out a number of times,
context: Dear Mom\Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times, response:	but I've never been on one myself.
context: Dear Mom Dear Mom\What?\It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself. response:	I bet you've flown lots of times, right, Yuzu-chan?
context: What?\It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan? response:	For work, certainly...
context: It means the plane has stabilized and you can walk around.\Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly... response:	How do I use this?
context: Yes!\I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this? response:	Same question! Same question!
context: I'm so nervous...\I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this?\Same question! Same question! response:	It says Games...
context: I didn't realize this was your first time on a plane, Shirase!\I watched my mother fly out a number of times,\but I've never been on one myself.\I bet you've flown lots of times, right, Yuzu-chan?\For work, certainly...\How do I use this?\Same question! Same question!\It says Games... response:	Um, you press this...
