context: It was summertime. response:	And with final exams coming close,
context: It was summertime.\And with final exams coming close, response:	my good mood was wandering about somewhere in Brazil,
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil, response:	and it didn't seem like it was going to come back.
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back. response:	Hey, do you know what day it is today?
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today? response:	Is it your birthday?
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday? response:	Nope.
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday?\Nope. response:	Is it Miss Asahina's birthday?
context: It was summertime.\And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday?\Nope.\Is it Miss Asahina's birthday? response:	Wrong!
context: And with final exams coming close,\my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday?\Nope.\Is it Miss Asahina's birthday?\Wrong! response:	It is Koizumi or Nagato's birthday?
context: my good mood was wandering about somewhere in Brazil,\and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday?\Nope.\Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday? response:	I don't know when those are!
context: and it didn't seem like it was going to come back.\Hey, do you know what day it is today?\Is it your birthday?\Nope.\Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday?\I don't know when those are! response:	By the way, my birthday is...
context: Hey, do you know what day it is today?\Is it your birthday?\Nope.\Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday?\I don't know when those are!\By the way, my birthday is... response:	That doesn't matter.
context: Is it your birthday?\Nope.\Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday?\I don't know when those are!\By the way, my birthday is...\That doesn't matter. response:	You don't know what an important day it is today, do you?
context: Nope.\Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday?\I don't know when those are!\By the way, my birthday is...\That doesn't matter.\You don't know what an important day it is today, do you? response:	It's just a hot weekday to me.
context: Is it Miss Asahina's birthday?\Wrong!\It is Koizumi or Nagato's birthday?\I don't know when those are!\By the way, my birthday is...\That doesn't matter.\You don't know what an important day it is today, do you?\It's just a hot weekday to me. response:	Tell me what day of the month it is.
