context: Uh.. response:	Er...
context: Uh..\Er... response:	I am Tomoe Mami.
context: Uh..\Er...\I am Tomoe Mami. response:	Like you, I'm a third year student at Mitakihara City Middle School.
context: Uh..\Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School. response:	Additionally, I'm a Magical Girl who has signed a contract with Kyubei.
context: Uh..\Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei. response:	Another weird dream...
context: Uh..\Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream... response:	Good morning, Madoka.
context: Uh..\Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka. response:	Episode 2 That would be very nice.
context: Uh..\Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice. response:	Episode 2 That would be very nice.
context: Er...\I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice. response:	I heard you got home really late last night, Madoka.
context: I am Tomoe Mami.\Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka. response:	My senior invited me over to her house.
context: Like you, I'm a third year student at Mitakihara City Middle School.\Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house. response:	I'm not going to tell you when to come home,
context: Additionally, I'm a Magical Girl who has signed a contract with Kyubei.\Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home, response:	but at least try to call me before dinner.
context: Another weird dream...\Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner. response:	Sorry.
context: Good morning, Madoka.\Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry. response:	I guess he really is invisible to others.
context: Episode 2 That would be very nice.\Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others. response:	What a wonderful house!
context: Episode 2 That would be very nice.\I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others.\What a wonderful house! response:	You don't need to act so formal. I live here alone.
context: I heard you got home really late last night, Madoka.\My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone. response:	I don't have much to offer in the way of hospitality though.
context: My senior invited me over to her house.\I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though. response:	It's delicious, Mami-san!
context: I'm not going to tell you when to come home,\but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san! response:	It's so tasty, I'm gonna explode!
context: but at least try to call me before dinner.\Sorry.\I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode! response:	Thanks.
context: Sorry.\I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks. response:	You two are no longer strangers to me after being chosen by Kyubei.
context: I guess he really is invisible to others.\What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei. response:	I'd like to explain some important things to you too.
context: What a wonderful house!\You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too. response:	Just ask whatever you'd like to know.
context: You don't need to act so formal. I live here alone.\I don't have much to offer in the way of hospitality though.\It's delicious, Mami-san!\It's so tasty, I'm gonna explode!\Thanks.\You two are no longer strangers to me after being chosen by Kyubei.\I'd like to explain some important things to you too.\Just ask whatever you'd like to know. response:	That's the opposite, Sayaka-chan.
