context: Well, I'll be going now, Ayumi. response:	Episode 8 Encounter
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter response:	Yeah. Sorry it's been so
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so response:	Our Yusarin...
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin... response:	Just because he's a bit handsome...
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome... response:	It's nothing that you need to apologize about.
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about. response:	That's right!
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right! response:	But now, we have all of the student council back together again.
context: Well, I'll be going now, Ayumi.\Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again. response:	That is why I decided that I'll stick it out with you,
context: Episode 8 Encounter\Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you, response:	until you have risen back up to normal.
context: Yeah. Sorry it's been so\Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal. response:	Then, to celebrate your return...
context: Our Yusarin...\Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return... response:	I give you, Otosaka, this magic spell!
context: Just because he's a bit handsome...\It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell! response:	I-It can't be...
context: It's nothing that you need to apologize about.\That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell!\I-It can't be... response:	It's all right! Forget about the results!
context: That's right!\But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell!\I-It can't be...\It's all right! Forget about the results! response:	The magic spell of being all right!
context: But now, we have all of the student council back together again.\That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell!\I-It can't be...\It's all right! Forget about the results!\The magic spell of being all right! response:	There it is! The memorable Yusarin's magic spell series, 1!
context: That is why I decided that I'll stick it out with you,\until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell!\I-It can't be...\It's all right! Forget about the results!\The magic spell of being all right!\There it is! The memorable Yusarin's magic spell series, 1! response:	The magic spell of being all right!
context: until you have risen back up to normal.\Then, to celebrate your return...\I give you, Otosaka, this magic spell!\I-It can't be...\It's all right! Forget about the results!\The magic spell of being all right!\There it is! The memorable Yusarin's magic spell series, 1!\The magic spell of being all right! response:	Yusarin! Yusarin! Yusarin! Yusarin! Yusarin!
