context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting response:	Danger Prophecy Emergency Countermeasures Team Explanation Meeting
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting response:	Is that true?
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true? response:	You asked these ruffians for help?
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help? response:	That's what the Hero Association decided to do?
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do? response:	That's right!
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right! response:	We must come together as one to scale the wall that humanity is now facing!
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing! response:	We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes! response:	That's clearly not enough!
context: Danger Prophecy Emergency Countermeasures Team Explanation Meeting\Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough! response:	I'm not asking you to do this for free!
context: Is that true?\You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free! response:	As long as you take care of the monsters, I'll make sure that you're compensated!
context: You asked these ruffians for help?\That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated! response:	Don't bother. It's a waste of money.
context: That's what the Hero Association decided to do?\That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money. response:	When it comes down to it, none of these fools are going to be worth anything.
context: That's right!\We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything. response:	I can't let that comment slide.
context: We must come together as one to scale the wall that humanity is now facing!\We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide. response:	I'm pretty sure I've killed more guys than you.
context: We currently have 390 C Class, 101 B Class, 38 A Class, and 17 S Class heroes!\That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you. response:	Wanna try me?
context: That's clearly not enough!\I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me? response:	These fools...
context: I'm not asking you to do this for free!\As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools... response:	lack conviction!
context: As long as you take care of the monsters, I'll make sure that you're compensated!\Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools...\lack conviction! response:	B-But...
context: Don't bother. It's a waste of money.\When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools...\lack conviction!\B-But... response:	Oh, come on.
context: When it comes down to it, none of these fools are going to be worth anything.\I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools...\lack conviction!\B-But...\Oh, come on. response:	This thing is spot-on... Totally spot-on.
context: I can't let that comment slide.\I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools...\lack conviction!\B-But...\Oh, come on.\This thing is spot-on... Totally spot-on. response:	This so-called great prophecy really nailed it.
context: I'm pretty sure I've killed more guys than you.\Wanna try me?\These fools...\lack conviction!\B-But...\Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it. response:	Guess they knew that the worst threat level, God level, would be upon us.
context: Wanna try me?\These fools...\lack conviction!\B-But...\Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us. response:	The old guy's right.
context: These fools...\lack conviction!\B-But...\Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right. response:	Even if everyone here worked together, you wouldn't be able to kill me.
context: lack conviction!\B-But...\Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me. response:	Huh? And who are you?
context: B-But...\Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you? response:	I'm Garo. I trained because I admired monsters,
context: Oh, come on.\This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters, response:	and I've crushed one dojo after another.
context: This thing is spot-on... Totally spot-on.\This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another. response:	Well, what's the holdup?
context: This so-called great prophecy really nailed it.\Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup? response:	Come at me all at once.
context: Guess they knew that the worst threat level, God level, would be upon us.\The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once. response:	Let's find out who's the strongest.
context: The old guy's right.\Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest. response:	That's why I came here.
context: Even if everyone here worked together, you wouldn't be able to kill me.\Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest.\That's why I came here. response:	Don't. This is nonsense.
context: Huh? And who are you?\I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense. response:	Nonsense?
context: I'm Garo. I trained because I admired monsters,\and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense.\Nonsense? response:	I've had enough of you. You can leave.
context: and I've crushed one dojo after another.\Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave. response:	Is that how you treat your guests, Mr. Lawman of Justice?
context: Well, what's the holdup?\Come at me all at once.\Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice? response:	Welp, I've made up my mind. Cowards need to be punished.
context: Come at me all at once.\Let's find out who's the strongest.\That's why I came here.\Don't. This is nonsense.\Nonsense?\I've had enough of you. You can leave.\Is that how you treat your guests, Mr. Lawman of Justice?\Welp, I've made up my mind. Cowards need to be punished. response:	I'm about to commit an evil deed
