context: There you go, making that face again, response:	biting onto your lips.
context: There you go, making that face again,\biting onto your lips. response:	You're hiding your weak side,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side, response:	but deep in those eyes,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes, response:	I can see you cowering.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering. response:	If you had a true heart,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart, response:	you would care, cry, call for someone and worry.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry. response:	Why are you holding onto the pain?
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain? response:	Share some of it with me.
context: biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me. response:	If you don't think it's possible right away,
context: You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away, response:	you can do it slowly, bit by bit.
context: but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit. response:	We don't have wings,
context: I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings, response:	but I'm sure we're only finding times that we can't fly.
context: If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly. response:	I'll call for you to the limits of my voice
context: you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice response:	so that you won't get lost.
context: Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost. response:	Soar up to the sky with your gentle heart,
context: Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart, response:	ride on that wind, and get it all at once.
context: If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once. response:	Ever since I was small, I would...
context: you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would... response:	sometimes see strange things.
context: We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things. response:	A kappa?
context: but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things.\A kappa? response:	Water...
context: I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things.\A kappa?\Water... response:	W-Water...
context: so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things.\A kappa?\Water...\W-Water... response:	Later.
context: Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things.\A kappa?\Water...\W-Water...\Later. response:	Natsume-kun, don't forget, okay?
context: ride on that wind, and get it all at once.\Ever since I was small, I would...\sometimes see strange things.\A kappa?\Water...\W-Water...\Later.\Natsume-kun, don't forget, okay? response:	Eh?
context: Ever since I was small, I would...\sometimes see strange things.\A kappa?\Water...\W-Water...\Later.\Natsume-kun, don't forget, okay?\Eh? response:	Eh? I'm talking about tonight's test of courage.
context: sometimes see strange things.\A kappa?\Water...\W-Water...\Later.\Natsume-kun, don't forget, okay?\Eh?\Eh? I'm talking about tonight's test of courage. response:	Do I have to go?
context: A kappa?\Water...\W-Water...\Later.\Natsume-kun, don't forget, okay?\Eh?\Eh? I'm talking about tonight's test of courage.\Do I have to go? response:	I don't really feel up to it.
context: Water...\W-Water...\Later.\Natsume-kun, don't forget, okay?\Eh?\Eh? I'm talking about tonight's test of courage.\Do I have to go?\I don't really feel up to it. response:	I asked you to come because we didn't have enough people.
