context: THE OBSESSIVE SCIENTIST response:	Long ago, there existed a brilliant young scientist.
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist. response:	By dint of his astonishing genius,
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius, response:	he was able to make a number of contributions to human knowledge.
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge. response:	Eventually, however, he became disillusioned with the world.
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world. response:	Though constantly showered with praise for the subtlety of his mind,
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind, response:	none of his ideas or theories ever received
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received response:	even the slightest support from the scientific community.
context: THE OBSESSIVE SCIENTIST\Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community. response:	We should not be striving to advance human civilization,
context: Long ago, there existed a brilliant young scientist.\By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization, response:	but rather the artificial evolution of humans as a species.
context: By dint of his astonishing genius,\he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species. response:	That was the only dream he had ever had,
context: he was able to make a number of contributions to human knowledge.\Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had, response:	but not a single person came forward to help him fulfill that dream.
context: Eventually, however, he became disillusioned with the world.\Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream. response:	Damn these apes!
context: Though constantly showered with praise for the subtlety of his mind,\none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes! response:	Dangerous ideas? Writing about me as if I were some freak?
context: none of his ideas or theories ever received\even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak? response:	Do they really think humans have come this far by avoiding risks?
context: even the slightest support from the scientific community.\We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks? response:	Idiots who think they no longer need to evolve
context: We should not be striving to advance human civilization,\but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve response:	have no right to pass on their genes!
context: but rather the artificial evolution of humans as a species.\That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes! response:	Of course, this plan was always for my own sake.
context: That was the only dream he had ever had,\but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake. response:	I will carry it out even if I must do it all myself!
context: but not a single person came forward to help him fulfill that dream.\Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself! response:	Thereafter, he devoted himself to research.
context: Damn these apes!\Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research. response:	It was only after he turned 70 that his efforts began to yield results.
context: Dangerous ideas? Writing about me as if I were some freak?\Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results. response:	First, the scientist regained his youth.
context: Do they really think humans have come this far by avoiding risks?\Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth. response:	Next, he began cloning himself.
context: Idiots who think they no longer need to evolve\have no right to pass on their genes!\Of course, this plan was always for my own sake.\I will carry it out even if I must do it all myself!\Thereafter, he devoted himself to research.\It was only after he turned 70 that his efforts began to yield results.\First, the scientist regained his youth.\Next, he began cloning himself. response:	He named his laboratory the House of Evolution,
