context: Hamu, how's it going? response:	Hamu?
context: Hamu, how's it going?\Hamu? response:	Yes, sir. This is Hamu. As ordered, I brought those two here.
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here. response:	Those Drifters appear to be two old men,
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men, response:	but they are in the midst of a heated fight.
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight. response:	Thief! Thief! Why the hell is this two-bit thief here?!
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?! response:	Who're you calling two-bit thief?!
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?! response:	You are the one who should be called that!
context: Hamu, how's it going?\Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that! response:	Justice lies with the victor.
context: Hamu?\Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor. response:	Shut up! You stole it from me, idiot!
context: Yes, sir. This is Hamu. As ordered, I brought those two here.\Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot! response:	You copied my strategy from Cannae and used it in Zama, moron!
context: Those Drifters appear to be two old men,\but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron! response:	What are you talking about, you old fool?!
context: but they are in the midst of a heated fight.\Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?! response:	Why don't you show me you can win, then?!
context: Thief! Thief! Why the hell is this two-bit thief here?!\Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?! response:	Grrr, why are you talking like a chosen one, you idiot?!
context: Who're you calling two-bit thief?!\You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?! response:	I didn't steal it, since I won the war fair and square!
context: You are the one who should be called that!\Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square! response:	That's why I hate the Romans!
context: Justice lies with the victor.\Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans! response:	When I go back, I will salt all of Carthage!
context: Shut up! You stole it from me, idiot!\You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage! response:	When I go back, I will cross the Alps one more time!
context: You copied my strategy from Cannae and used it in Zama, moron!\What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time! response:	What would you like me to do, Grand Master?
context: What are you talking about, you old fool?!\Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master? response:	Stop them.
context: Why don't you show me you can win, then?!\Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them. response:	Yes, sir.
context: Grrr, why are you talking like a chosen one, you idiot?!\I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them.\Yes, sir. response:	The issue is that their intentions...
context: I didn't steal it, since I won the war fair and square!\That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them.\Yes, sir.\The issue is that their intentions... response:	The Octobrists
context: That's why I hate the Romans!\When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them.\Yes, sir.\The issue is that their intentions...\The Octobrists response:	We must find out what they are somehow...
context: When I go back, I will salt all of Carthage!\When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them.\Yes, sir.\The issue is that their intentions...\The Octobrists\We must find out what they are somehow... response:	Act 2 Footsteps
context: When I go back, I will cross the Alps one more time!\What would you like me to do, Grand Master?\Stop them.\Yes, sir.\The issue is that their intentions...\The Octobrists\We must find out what they are somehow...\Act 2 Footsteps response:	You two, I've told you so many times!
