context: I wonder if I'm useful to the Aria Company? response:	What's with you all of a sudden?
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden? response:	You're not acting like yourself, Akari.
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari. response:	Well...
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari.\Well... response:	Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless. response:	Useless?
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless? response:	It doesn't matter if you're a burden, it's fine. Useless?
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless? response:	It doesn't matter if you're a burden, it's fine.
context: I wonder if I'm useful to the Aria Company?\What's with you all of a sudden?\You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine. response:	It doesn't matter if you're a burden, it's fine. A bur... den...
context: What's with you all of a sudden?\You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den... response:	A bur... den...
context: You're not acting like yourself, Akari.\Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den... response:	Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia.
context: Well...\Don't worry! I'm sure Alicia isn't bothered by it, even if you are useless.\Useless?\It doesn't matter if you're a burden, it's fine. Useless?\It doesn't matter if you're a burden, it's fine.\It doesn't matter if you're a burden, it's fine. A bur... den...\A bur... den...\Dear Ai, for the past few days, the weather has been really nice in Neo-Venezia. response:	When the weather is nice, for some reason, you just feel refreshed.
