context: Chi response:	ha
context: Chi\ha response:	ya
context: Chi\ha\ya response:	fu
context: Chi\ha\ya\fu response:	ru
context: Chi\ha\ya\fu\ru response:	So the flower has...
context: Chi\ha\ya\fu\ru\So the flower has... response:	Feel love, nobody, feel sorrow...
context: Chi\ha\ya\fu\ru\So the flower has...\Feel love, nobody, feel sorrow... response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!
context: Chi\ha\ya\fu\ru\So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9! response:	Impassionate gods have never seen...
context: ha\ya\fu\ru\So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen... response:	Hey.
context: ya\fu\ru\So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey. response:	I don't think we should hold a karuta demo tomorrow.
context: fu\ru\So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow. response:	What? Why not?
context: ru\So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not? response:	We'll scare away all the first-years.
context: So the flower has...\Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years. response:	Huh?
context: Feel love, nobody, feel sorrow...\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years.\Huh? response:	True.
context: Let's start a competitive karuta club! Please come see Ayase Chihaya in class 2-9!\Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years.\Huh?\True. response:	Huh?
context: Impassionate gods have never seen...\Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years.\Huh?\True.\Huh? response:	Kana-chan's right.
context: Hey.\I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years.\Huh?\True.\Huh?\Kana-chan's right. response:	Huh?
context: I don't think we should hold a karuta demo tomorrow.\What? Why not?\We'll scare away all the first-years.\Huh?\True.\Huh?\Kana-chan's right.\Huh? response:	They'll run for the hills.
context: What? Why not?\We'll scare away all the first-years.\Huh?\True.\Huh?\Kana-chan's right.\Huh?\They'll run for the hills. response:	But...
context: We'll scare away all the first-years.\Huh?\True.\Huh?\Kana-chan's right.\Huh?\They'll run for the hills.\But... response:	Don't worry!
context: Huh?\True.\Huh?\Kana-chan's right.\Huh?\They'll run for the hills.\But...\Don't worry! response:	Let me handle this!
context: True.\Huh?\Kana-chan's right.\Huh?\They'll run for the hills.\But...\Don't worry!\Let me handle this! response:	Okay...
context: Huh?\Kana-chan's right.\Huh?\They'll run for the hills.\But...\Don't worry!\Let me handle this!\Okay... response:	Taichi.
context: Kana-chan's right.\Huh?\They'll run for the hills.\But...\Don't worry!\Let me handle this!\Okay...\Taichi. response:	Will any new students come?
context: Huh?\They'll run for the hills.\But...\Don't worry!\Let me handle this!\Okay...\Taichi.\Will any new students come? response:	It's hard to say.
context: They'll run for the hills.\But...\Don't worry!\Let me handle this!\Okay...\Taichi.\Will any new students come?\It's hard to say. response:	I hope they fall in love with karuta.
