context: Rebooting attitude control system. response:	Ensign Ledo, your resistance is without meaning.
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning. response:	This is...
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is... response:	Then all this time, I've been talking to...
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to... response:	X3752 Striker interface system.
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to...\X3752 Striker interface system. response:	So it was all a fabrication.
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication. response:	The pilot of this craft no longer exists.
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists. response:	However, I am carrying on Commander Kugel's mission.
context: Rebooting attitude control system.\Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission. response:	All of my activities follow the commander's main plan.
context: Ensign Ledo, your resistance is without meaning.\This is...\Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan. response:	What?!
context: This is...\Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?! response:	Commander Kugel designed the social form of this fleet
context: Then all this time, I've been talking to...\X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet response:	as a system that provides a sense of solidarity
context: X3752 Striker interface system.\So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity response:	through my worship.
context: So it was all a fabrication.\The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship. response:	Already, I am no longer an independent mobile weapon.
context: The pilot of this craft no longer exists.\However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon. response:	At present, this collective is dependent on me
context: However, I am carrying on Commander Kugel's mission.\All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me response:	and have become my users.
context: All of my activities follow the commander's main plan.\What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users. response:	To provide them with and maintain the stable union that they seek,
context: What?!\Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek, response:	I use pressure to control and regulate them.
context: Commander Kugel designed the social form of this fleet\as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them. response:	When they collectively acquire peace and prosperity,
context: as a system that provides a sense of solidarity\through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity, response:	I accomplish my purpose of existence.
context: through my worship.\Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence. response:	You...
context: Already, I am no longer an independent mobile weapon.\At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You... response:	I am a human race support and enlightenment regulation system.
context: At present, this collective is dependent on me\and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system. response:	That is to say, I am the presence called god.
context: and have become my users.\To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god. response:	You're full of it!
context: To provide them with and maintain the stable union that they seek,\I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it! response:	Peace?! Prosperity?!
context: I use pressure to control and regulate them.\When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?! response:	They've all just become your slaves!
context: When they collectively acquire peace and prosperity,\I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?!\They've all just become your slaves! response:	By my reigning as the sole, absolute, commanding ruler,
context: I accomplish my purpose of existence.\You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler, response:	the people are freed from the responsibility of thinking and making decisions.
context: You...\I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions. response:	Ensign Ledo, I am sure that you too
context: I am a human race support and enlightenment regulation system.\That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too response:	have felt the burden of having to think and decide for yourself.
context: That is to say, I am the presence called god.\You're full of it!\Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself. response:	Promising recommendation: Worship me. Obey me.
context: You're full of it!\Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me. response:	Become part of the world over which I preside.
context: Peace?! Prosperity?!\They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside. response:	What?!
context: They've all just become your slaves!\By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?! response:	Unacceptable recommendation.
context: By my reigning as the sole, absolute, commanding ruler,\the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?!\Unacceptable recommendation. response:	Informing X3752: Your logic does compute.
context: the people are freed from the responsibility of thinking and making decisions.\Ensign Ledo, I am sure that you too\have felt the burden of having to think and decide for yourself.\Promising recommendation: Worship me. Obey me.\Become part of the world over which I preside.\What?!\Unacceptable recommendation.\Informing X3752: Your logic does compute. response:	One who abandons thought and decision-making deviates from the definition of human.
