context: The silver pin, response:	given to the boy and girl in each class with the top test scores.
context: The silver pin,\given to the boy and girl in each class with the top test scores. response:	Tuition exemption. Commute allowance.
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance. response:	Free lunch at the school cafeteria.
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria. response:	I never cared about those perks, though.
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though. response:	It proved you were top of the class.
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class. response:	That you were class rep.
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class.\That you were class rep. response:	That's the kind of status the pin conferred upon you,
context: The silver pin,\given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you, response:	and I was proud of myself when I wore it.
context: given to the boy and girl in each class with the top test scores.\Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it. response:	Kariu, committee meeting time!
context: Tuition exemption. Commute allowance.\Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time! response:	Yeah!
context: Free lunch at the school cafeteria.\I never cared about those perks, though.\It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah! response:	And...
context: I never cared about those perks, though.\It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah!\And... response:	Going to the cafeteria now?
context: It proved you were top of the class.\That you were class rep.\That's the kind of status the pin conferred upon you,\and I was proud of myself when I wore it.\Kariu, committee meeting time!\Yeah!\And...\Going to the cafeteria now? response:	O-Oga!
