context: It's been too long. response:	Episode 3 The Confession
context: It's been too long.\Episode 3 The Confession response:	Mr. William...
context: It's been too long.\Episode 3 The Confession\Mr. William... response:	Uh, Mr. William?
context: It's been too long.\Episode 3 The Confession\Mr. William...\Uh, Mr. William? response:	Here's this month's stock list.
context: It's been too long.\Episode 3 The Confession\Mr. William...\Uh, Mr. William?\Here's this month's stock list. response:	Oh, right.
context: It's been too long.\Episode 3 The Confession\Mr. William...\Uh, Mr. William?\Here's this month's stock list.\Oh, right. response:	Also, regarding the goods that have yet to arrive by sea...
context: It's been too long.\Episode 3 The Confession\Mr. William...\Uh, Mr. William?\Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea... response:	Should we inquire about them once more, just in case?
context: It's been too long.\Episode 3 The Confession\Mr. William...\Uh, Mr. William?\Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case? response:	Yep. I'll leave that to you.
context: Episode 3 The Confession\Mr. William...\Uh, Mr. William?\Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you. response:	Excuse me, sir!
context: Mr. William...\Uh, Mr. William?\Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir! response:	Uh...
context: Uh, Mr. William?\Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir!\Uh... response:	There is a visitor at the door...!
context: Here's this month's stock list.\Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir!\Uh...\There is a visitor at the door...! response:	A visitor?
context: Oh, right.\Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir!\Uh...\There is a visitor at the door...!\A visitor? response:	What in the world is this?
context: Also, regarding the goods that have yet to arrive by sea...\Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir!\Uh...\There is a visitor at the door...!\A visitor?\What in the world is this? response:	Ha-
context: Should we inquire about them once more, just in case?\Yep. I'll leave that to you.\Excuse me, sir!\Uh...\There is a visitor at the door...!\A visitor?\What in the world is this?\Ha- response:	Hakim!
context: Yep. I'll leave that to you.\Excuse me, sir!\Uh...\There is a visitor at the door...!\A visitor?\What in the world is this?\Ha-\Hakim! response:	Long time no see, William.
context: Excuse me, sir!\Uh...\There is a visitor at the door...!\A visitor?\What in the world is this?\Ha-\Hakim!\Long time no see, William. response:	Are you surprised to see me?
context: Uh...\There is a visitor at the door...!\A visitor?\What in the world is this?\Ha-\Hakim!\Long time no see, William.\Are you surprised to see me? response:	I can't believe you rode here on an elephant...
context: There is a visitor at the door...!\A visitor?\What in the world is this?\Ha-\Hakim!\Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant... response:	But at any rate, why the surprise visit?
context: A visitor?\What in the world is this?\Ha-\Hakim!\Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit? response:	My grandmother's been giving me a hard time at home.
context: What in the world is this?\Ha-\Hakim!\Long time no see, William.\Are you surprised to see me?\I can't believe you rode here on an elephant...\But at any rate, why the surprise visit?\My grandmother's been giving me a hard time at home. response:	Sometimes you just feel like taking a trip by yourself.
