context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical. response:	Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago. response:	So after three years, the mysterious killer returns, huh?
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh? response:	This man?
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man? response:	The picture's filename was...
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was... response:	Makishima.
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was...\Makishima. response:	My head is full of things
context: I'm taking you off this case, Kougami.\The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was...\Makishima.\My head is full of things response:	My head is full of things
context: The body was eroded by a special kind of chemical.\Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was...\Makishima.\My head is full of things\My head is full of things response:	that I can never tell anybody of
context: Analysis confirmed that the chemical usedhhhh was the same one used in the case three years ago.\So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was...\Makishima.\My head is full of things\My head is full of things\that I can never tell anybody of response:	that I can never tell anybody of
context: So after three years, the mysterious killer returns, huh?\This man?\The picture's filename was...\Makishima.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of response:	In this perfect world
context: This man?\The picture's filename was...\Makishima.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world response:	In this perfect world
context: The picture's filename was...\Makishima.\My head is full of things\My head is full of things\that I can never tell anybody of\that I can never tell anybody of\In this perfect world\In this perfect world response:	I roam, a lost being
