context: Quick Dial response:	Redial
context: Quick Dial\Redial response:	Call
context: Quick Dial\Redial\Call response:	Function
context: Quick Dial\Redial\Call\Function response:	Silent
context: Quick Dial\Redial\Call\Function\Silent response:	Memo
context: Quick Dial\Redial\Call\Function\Silent\Memo response:	Good morning.
context: Quick Dial\Redial\Call\Function\Silent\Memo\Good morning. response:	This is Kosaku Kawajiri.
context: Quick Dial\Redial\Call\Function\Silent\Memo\Good morning.\This is Kosaku Kawajiri. response:	I realize this is selfish of me,
context: Redial\Call\Function\Silent\Memo\Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me, response:	but I will be around fifteen minutes late to the office.
context: Call\Function\Silent\Memo\Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office. response:	Yes. I have to discipline my unreasonable son.
context: Function\Silent\Memo\Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son. response:	Yes, sir. I realize this would sound highly trivial to anyone else. Yes.
context: Silent\Memo\Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes. response:	I am terribly sorry.
context: Memo\Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry. response:	Yes, as soon as I'm done.
context: Good morning.\This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done. response:	Yes, I'll head right to the office.
context: This is Kosaku Kawajiri.\I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office. response:	Yes.
context: I realize this is selfish of me,\but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes. response:	Yes. If you'll excuse me, sir.
context: but I will be around fifteen minutes late to the office.\Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir. response:	Curse that Kosaku Kawajiri being so apologetic.
context: Yes. I have to discipline my unreasonable son.\Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic. response:	Did you want to climb the corporate ladder that badly,
context: Yes, sir. I realize this would sound highly trivial to anyone else. Yes.\I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly, response:	despite how anxious you were?
context: I am terribly sorry.\Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were? response:	The reason Josuke went into that house
context: Yes, as soon as I'm done.\Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house response:	is because he knew he'd have the upper hand in a close-quarters battle.
context: Yes, I'll head right to the office.\Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle. response:	I will admit that's true.
context: Yes.\Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true. response:	It's best that I avoid close-quarters combat with Shining Diamond.
context: Yes. If you'll excuse me, sir.\Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond. response:	If I can figure out just where Josuke is,
context: Curse that Kosaku Kawajiri being so apologetic.\Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is, response:	I can shoot an air bullet from here, but...
context: Did you want to climb the corporate ladder that badly,\despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but... response:	Hey, you.
context: despite how anxious you were?\The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you. response:	What do you think you're doing on this property?
context: The reason Josuke went into that house\is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property? response:	What? Are you saying you're not on this property?
context: is because he knew he'd have the upper hand in a close-quarters battle.\I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property? response:	Don't get nitpicky with me, Mr. Goody Two-shoes.
context: I will admit that's true.\It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes. response:	Is this your house?
context: It's best that I avoid close-quarters combat with Shining Diamond.\If I can figure out just where Josuke is,\I can shoot an air bullet from here, but...\Hey, you.\What do you think you're doing on this property?\What? Are you saying you're not on this property?\Don't get nitpicky with me, Mr. Goody Two-shoes.\Is this your house? response:	How long have you been watching?
