context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend response:	JobGear
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear response:	I'm Sakurasawa Sumi, a first-year in college.
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college. response:	My job: rental girlfriend.
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend. response:	My mornings begin at 4 AM.
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM. response:	I wake up five minutes before my alarm rings,
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings, response:	Drowsy
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy response:	change out of my pajamas,
context: Sakurasawa Sumi, College First-Year Occupation: Rental Girlfriend\JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas, response:	brush my teeth,
context: JobGear\I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas,\brush my teeth, response:	Relentless
context: I'm Sakurasawa Sumi, a first-year in college.\My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas,\brush my teeth,\Relentless response:	indulge in a session of morning calligraphy,
context: My job: rental girlfriend.\My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas,\brush my teeth,\Relentless\indulge in a session of morning calligraphy, response:	throw it away,
context: My mornings begin at 4 AM.\I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas,\brush my teeth,\Relentless\indulge in a session of morning calligraphy,\throw it away, response:	walk the dog I took with me when I moved out of my family's home,
context: I wake up five minutes before my alarm rings,\Drowsy\change out of my pajamas,\brush my teeth,\Relentless\indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home, response:	Oh, morning. Another fine day, eh?
context: Drowsy\change out of my pajamas,\brush my teeth,\Relentless\indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh? response:	get greeted by the old man I always run into,
context: change out of my pajamas,\brush my teeth,\Relentless\indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into, response:	take a shower,
context: brush my teeth,\Relentless\indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower, response:	and head to college,
context: Relentless\indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower,\and head to college, response:	where I'm a brainiac who loves Japanese history and hates international comms.
context: indulge in a session of morning calligraphy,\throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower,\and head to college,\where I'm a brainiac who loves Japanese history and hates international comms. response:	65th percentile Good at humanities
context: throw it away,\walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower,\and head to college,\where I'm a brainiac who loves Japanese history and hates international comms.\65th percentile Good at humanities response:	Q: What does rental girlfriend mean to you?
context: walk the dog I took with me when I moved out of my family's home,\Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower,\and head to college,\where I'm a brainiac who loves Japanese history and hates international comms.\65th percentile Good at humanities\Q: What does rental girlfriend mean to you? response:	I get bookings about twice a week.
context: Oh, morning. Another fine day, eh?\get greeted by the old man I always run into,\take a shower,\and head to college,\where I'm a brainiac who loves Japanese history and hates international comms.\65th percentile Good at humanities\Q: What does rental girlfriend mean to you?\I get bookings about twice a week. response:	Funny and cute, you'll want to protect her smile
