context: episode title: Rival response:	@nee
context: episode title: Rival\@nee response:	Sign: *FFCFoF <rival> n. a good competitor.
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor. response:	next episode title: Night Talk
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk response:	And why are you crying?
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying? response:	Because you are.
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying?\Because you are. response:	I-I cleaned it, don't worry.
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying?\Because you are.\I-I cleaned it, don't worry. response:	It's not dirty.
context: episode title: Rival\@nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying?\Because you are.\I-I cleaned it, don't worry.\It's not dirty. response:	I won't curse you.
context: @nee\Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying?\Because you are.\I-I cleaned it, don't worry.\It's not dirty.\I won't curse you. response:	I never thought you would.
context: Sign: *FFCFoF <rival> n. a good competitor.\next episode title: Night Talk\And why are you crying?\Because you are.\I-I cleaned it, don't worry.\It's not dirty.\I won't curse you.\I never thought you would. response:	Quit crying; it's annoying!
context: next episode title: Night Talk\And why are you crying?\Because you are.\I-I cleaned it, don't worry.\It's not dirty.\I won't curse you.\I never thought you would.\Quit crying; it's annoying! response:	Sawako-chan, what happened with Kazehaya earlier?
context: And why are you crying?\Because you are.\I-I cleaned it, don't worry.\It's not dirty.\I won't curse you.\I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier? response:	I just thought that I like him.
context: Because you are.\I-I cleaned it, don't worry.\It's not dirty.\I won't curse you.\I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him. response:	Are you going to go out with him?
context: I-I cleaned it, don't worry.\It's not dirty.\I won't curse you.\I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him? response:	Did you tell him that you like him?
context: It's not dirty.\I won't curse you.\I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him? response:	Did he tell you?
context: I won't curse you.\I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him?\Did he tell you? response:	Him? Me?
context: I never thought you would.\Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him?\Did he tell you?\Him? Me? response:	No way.
context: Quit crying; it's annoying!\Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him?\Did he tell you?\Him? Me?\No way. response:	Really? You're not going out with him?
context: Sawako-chan, what happened with Kazehaya earlier?\I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him?\Did he tell you?\Him? Me?\No way.\Really? You're not going out with him? response:	Of course not.
context: I just thought that I like him.\Are you going to go out with him?\Did you tell him that you like him?\Did he tell you?\Him? Me?\No way.\Really? You're not going out with him?\Of course not. response:	Who knows! Who knows what could have happened in that situation.
context: Are you going to go out with him?\Did you tell him that you like him?\Did he tell you?\Him? Me?\No way.\Really? You're not going out with him?\Of course not.\Who knows! Who knows what could have happened in that situation. response:	You might have said yes” in the heat of the moment.
context: Did you tell him that you like him?\Did he tell you?\Him? Me?\No way.\Really? You're not going out with him?\Of course not.\Who knows! Who knows what could have happened in that situation.\You might have said yes” in the heat of the moment. response:	Kurumi-chan, do you think it's possible for Kazehaya-kun to fall for me?
context: Did he tell you?\Him? Me?\No way.\Really? You're not going out with him?\Of course not.\Who knows! Who knows what could have happened in that situation.\You might have said yes” in the heat of the moment.\Kurumi-chan, do you think it's possible for Kazehaya-kun to fall for me? response:	I didn't even have anyone to talk to until just recently.
context: Him? Me?\No way.\Really? You're not going out with him?\Of course not.\Who knows! Who knows what could have happened in that situation.\You might have said yes” in the heat of the moment.\Kurumi-chan, do you think it's possible for Kazehaya-kun to fall for me?\I didn't even have anyone to talk to until just recently. response:	Kazehaya doesn't care about that sort of thing.
context: No way.\Really? You're not going out with him?\Of course not.\Who knows! Who knows what could have happened in that situation.\You might have said yes” in the heat of the moment.\Kurumi-chan, do you think it's possible for Kazehaya-kun to fall for me?\I didn't even have anyone to talk to until just recently.\Kazehaya doesn't care about that sort of thing. response:	He's nice, and he's caring,
