context: A Day at the Marui House response:	We're leaving!
context: A Day at the Marui House\We're leaving! response:	Bye.
context: A Day at the Marui House\We're leaving!\Bye. response:	I think you'd better stay home today.
context: A Day at the Marui House\We're leaving!\Bye.\I think you'd better stay home today. response:	I'll go...
context: A Day at the Marui House\We're leaving!\Bye.\I think you'd better stay home today.\I'll go... response:	There's gym...fifth period...
context: A Day at the Marui House\We're leaving!\Bye.\I think you'd better stay home today.\I'll go...\There's gym...fifth period... response:	You come home right away if you get any worse.
context: A Day at the Marui House\We're leaving!\Bye.\I think you'd better stay home today.\I'll go...\There's gym...fifth period...\You come home right away if you get any worse. response:	And dress warmly.
context: A Day at the Marui House\We're leaving!\Bye.\I think you'd better stay home today.\I'll go...\There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly. response:	Warm clothes...
context: We're leaving!\Bye.\I think you'd better stay home today.\I'll go...\There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly.\Warm clothes... response:	F-Futa-
context: Bye.\I think you'd better stay home today.\I'll go...\There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly.\Warm clothes...\F-Futa- response:	Good morning, Youngest-san!
context: I think you'd better stay home today.\I'll go...\There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly.\Warm clothes...\F-Futa-\Good morning, Youngest-san! response:	Boy, you're really working that aura today!
context: I'll go...\There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly.\Warm clothes...\F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today! response:	Hey.
context: There's gym...fifth period...\You come home right away if you get any worse.\And dress warmly.\Warm clothes...\F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey. response:	Man, Youngest-san's aura really sends shivers up your spine, huh?
context: You come home right away if you get any worse.\And dress warmly.\Warm clothes...\F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh? response:	Chiba, she's right behind you!
context: And dress warmly.\Warm clothes...\F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you! response:	Where?
context: Warm clothes...\F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where? response:	RIGHT behind you, turn around!
context: F-Futa-\Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where?\RIGHT behind you, turn around! response:	Probably just a ghost or something.
context: Good morning, Youngest-san!\Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where?\RIGHT behind you, turn around!\Probably just a ghost or something. response:	That would be all the more reason to turn around.
context: Boy, you're really working that aura today!\Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where?\RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around. response:	A ghost?! Where where where?
context: Hey.\Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where?\RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where? response:	No, it's not...
context: Man, Youngest-san's aura really sends shivers up your spine, huh?\Chiba, she's right behind you!\Where?\RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not... response:	Is that really Futaba-chan?
context: Chiba, she's right behind you!\Where?\RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan? response:	That cold's sucking the life out of her.
context: Where?\RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her. response:	Let me write purification spells on her body!
context: RIGHT behind you, turn around!\Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body! response:	Oh shut UP.
context: Probably just a ghost or something.\That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP. response:	You can't go to gym.
context: That would be all the more reason to turn around.\A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP.\You can't go to gym. response:	Can too...
context: A ghost?! Where where where?\No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP.\You can't go to gym.\Can too... response:	This HAS to be Youngest-san!
context: No, it's not...\Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP.\You can't go to gym.\Can too...\This HAS to be Youngest-san! response:	That's so rude.
context: Is that really Futaba-chan?\That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP.\You can't go to gym.\Can too...\This HAS to be Youngest-san!\That's so rude. response:	Maybe I'll go home instead.
context: That cold's sucking the life out of her.\Let me write purification spells on her body!\Oh shut UP.\You can't go to gym.\Can too...\This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead. response:	See? Nipples only ever runs up to Youngest-san.
context: Let me write purification spells on her body!\Oh shut UP.\You can't go to gym.\Can too...\This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san. response:	But she's right...
context: Oh shut UP.\You can't go to gym.\Can too...\This HAS to be Youngest-san!\That's so rude.\Maybe I'll go home instead.\See? Nipples only ever runs up to Youngest-san.\But she's right... response:	Th-There's two of them!
