context: Here they come. response:	Wait, we don't...!
context: Here they come.\Wait, we don't...! response:	Run! Quickly!
context: Here they come.\Wait, we don't...!\Run! Quickly! response:	What is it?
context: Here they come.\Wait, we don't...!\Run! Quickly!\What is it? response:	How stupid.
context: Here they come.\Wait, we don't...!\Run! Quickly!\What is it?\How stupid. response:	I want to see dreams further into the future.
context: Here they come.\Wait, we don't...!\Run! Quickly!\What is it?\How stupid.\I want to see dreams further into the future. response:	It's time.
context: Here they come.\Wait, we don't...!\Run! Quickly!\What is it?\How stupid.\I want to see dreams further into the future.\It's time. response:	Besides that idiot, there are six other contractors.
context: Here they come.\Wait, we don't...!\Run! Quickly!\What is it?\How stupid.\I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors. response:	They were once members of the EPR.
context: Wait, we don't...!\Run! Quickly!\What is it?\How stupid.\I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR. response:	From what I understand from my client,
context: Run! Quickly!\What is it?\How stupid.\I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client, response:	they're negotiating with a French syndicate he's directly connected with,
context: What is it?\How stupid.\I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with, response:	or a special Chinese agency.
context: How stupid.\I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency. response:	Let's finish this before they arrive.
context: I want to see dreams further into the future.\It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive. response:	I don't take orders from you.
context: It's time.\Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you. response:	You know it's impossible, yet you're still going to try and save her?
context: Besides that idiot, there are six other contractors.\They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her? response:	Do what you want then.
context: They were once members of the EPR.\From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then. response:	I'm tired of trying to convince you.
context: From what I understand from my client,\they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you. response:	However, just remember that our primary objective is to prevent her from awakening.
context: they're negotiating with a French syndicate he's directly connected with,\or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening. response:	Save her? Does that doll really want to be saved?
context: or a special Chinese agency.\Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved? response:	It's good to be a contractor, because we don't dream.
context: Let's finish this before they arrive.\I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream. response:	They're here.
context: I don't take orders from you.\You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here. response:	Who are we up against?
context: You know it's impossible, yet you're still going to try and save her?\Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here.\Who are we up against? response:	Four Caucasians, one black person and one Asian.
context: Do what you want then.\I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here.\Who are we up against?\Four Caucasians, one black person and one Asian. response:	So it's the French.
context: I'm tired of trying to convince you.\However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here.\Who are we up against?\Four Caucasians, one black person and one Asian.\So it's the French. response:	What's going on?
context: However, just remember that our primary objective is to prevent her from awakening.\Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here.\Who are we up against?\Four Caucasians, one black person and one Asian.\So it's the French.\What's going on? response:	I told all the intelligence agencies in the world to come if they wanted it.
context: Save her? Does that doll really want to be saved?\It's good to be a contractor, because we don't dream.\They're here.\Who are we up against?\Four Caucasians, one black person and one Asian.\So it's the French.\What's going on?\I told all the intelligence agencies in the world to come if they wanted it. response:	I don't need you anymore.
context: It's good to be a contractor, because we don't dream.\They're here.\Who are we up against?\Four Caucasians, one black person and one Asian.\So it's the French.\What's going on?\I told all the intelligence agencies in the world to come if they wanted it.\I don't need you anymore. response:	Now! Kill him!
