context: *Episode 10 response:	Episode title: Cooperation
context: *Episode 10\Episode title: Cooperation response:	signs: top = Ball, bottom = Sawako
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako response:	sign: Staff Room
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room response:	sign: Flammable
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable response:	Next episode: Special?
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable\Next episode: Special? response:	Sawako!
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable\Next episode: Special?\Sawako! response:	G-Got it!
context: *Episode 10\Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable\Next episode: Special?\Sawako!\G-Got it! response:	Sawako-chan!
context: Episode title: Cooperation\signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable\Next episode: Special?\Sawako!\G-Got it!\Sawako-chan! response:	Sawako-chan!
context: signs: top = Ball, bottom = Sawako\sign: Staff Room\sign: Flammable\Next episode: Special?\Sawako!\G-Got it!\Sawako-chan!\Sawako-chan! response:	Good luck!
context: sign: Staff Room\sign: Flammable\Next episode: Special?\Sawako!\G-Got it!\Sawako-chan!\Sawako-chan!\Good luck! response:	O-Okay.
context: sign: Flammable\Next episode: Special?\Sawako!\G-Got it!\Sawako-chan!\Sawako-chan!\Good luck!\O-Okay. response:	So then when the pass comes this way,
context: Next episode: Special?\Sawako!\G-Got it!\Sawako-chan!\Sawako-chan!\Good luck!\O-Okay.\So then when the pass comes this way, response:	you head straight that way.
context: Sawako!\G-Got it!\Sawako-chan!\Sawako-chan!\Good luck!\O-Okay.\So then when the pass comes this way,\you head straight that way. response:	Oh, I see.
context: G-Got it!\Sawako-chan!\Sawako-chan!\Good luck!\O-Okay.\So then when the pass comes this way,\you head straight that way.\Oh, I see. response:	See, this is important.
context: Sawako-chan!\Sawako-chan!\Good luck!\O-Okay.\So then when the pass comes this way,\you head straight that way.\Oh, I see.\See, this is important. response:	The enemy's going to try to block you.
context: Sawako-chan!\Good luck!\O-Okay.\So then when the pass comes this way,\you head straight that way.\Oh, I see.\See, this is important.\The enemy's going to try to block you. response:	Don't panic, just kick it back a bit.
context: Good luck!\O-Okay.\So then when the pass comes this way,\you head straight that way.\Oh, I see.\See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit. response:	You have to, like, picture how the game's going to unfold in your head.
context: O-Okay.\So then when the pass comes this way,\you head straight that way.\Oh, I see.\See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head. response:	You know what I mean?
context: So then when the pass comes this way,\you head straight that way.\Oh, I see.\See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean? response:	They're pumped up.
context: you head straight that way.\Oh, I see.\See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up. response:	Sports day's coming up.
context: Oh, I see.\See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up.\Sports day's coming up. response:	Sawako-chan.
context: See, this is important.\The enemy's going to try to block you.\Don't panic, just kick it back a bit.\You have to, like, picture how the game's going to unfold in your head.\You know what I mean?\They're pumped up.\Sports day's coming up.\Sawako-chan. response:	Keep your knees bent.
