context: Hishiron! Let's get lunch. response:	What about Kariu-san?
context: Hishiron! Let's get lunch.\What about Kariu-san? response:	C-Come on, Hishiron!
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron! response:	It's lunch break. How haven't you noticed yet?
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet? response:	Rena's absent today.
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today. response:	She is? Then it's just the two of us today.
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today. response:	Yep!
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today.\Yep! response:	Revenge
context: Hishiron! Let's get lunch.\What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today.\Yep!\Revenge response:	Hishiron, ramen again?
context: What about Kariu-san?\C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today.\Yep!\Revenge\Hishiron, ramen again? response:	There's other good stuff on the menu here.
context: C-Come on, Hishiron!\It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today.\Yep!\Revenge\Hishiron, ramen again?\There's other good stuff on the menu here. response:	Like the fried rice and the rice omelets...
context: It's lunch break. How haven't you noticed yet?\Rena's absent today.\She is? Then it's just the two of us today.\Yep!\Revenge\Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets... response:	Tamarai-san, you look a little ugly today.
context: Rena's absent today.\She is? Then it's just the two of us today.\Yep!\Revenge\Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today. response:	Your eyes look weird.
context: She is? Then it's just the two of us today.\Yep!\Revenge\Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird. response:	Did you walk into something?
context: Yep!\Revenge\Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something? response:	Stop, Hishiron! Don't be mean!
context: Revenge\Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean! response:	Ugly? Weird?
context: Hishiron, ramen again?\There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird? response:	It's that obvious I was crying, huh? Ugh...
context: There's other good stuff on the menu here.\Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh... response:	If you didn't bump into anything,
context: Like the fried rice and the rice omelets...\Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything, response:	was it bees?
context: Tamarai-san, you look a little ugly today.\Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees? response:	Uh, yeah!
context: Your eyes look weird.\Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees?\Uh, yeah! response:	Guess I was stung in my sleep!
context: Did you walk into something?\Stop, Hishiron! Don't be mean!\Ugly? Weird?\It's that obvious I was crying, huh? Ugh...\If you didn't bump into anything,\was it bees?\Uh, yeah!\Guess I was stung in my sleep! response:	I see. Get well soon.
