context: Josuke, how long are you going to be playing that? response:	If you don't turn off that video game now,
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now, response:	I'm gonna shut it off myself.
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself. response:	Just five more minutes! Please!
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please! response:	Just let me play for five more minutes!
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes! response:	This is the most exciting part!
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part! response:	If I stop right now,
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part!\If I stop right now, response:	I'll be a man who couldn't accomplish the one thing he set out to do,
context: Josuke, how long are you going to be playing that?\If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do, response:	Come on! If you don't quit,
context: If you don't turn off that video game now,\I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit, response:	and I'll regret it the rest of my life!
context: I'm gonna shut it off myself.\Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life! response:	the kicks are just going to get harder!
context: Just five more minutes! Please!\Just let me play for five more minutes!\This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder! response:	Do you really want your son to end up like that, Mom?!
context: Just let me play for five more minutes!\This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?! response:	How long can you put up with this?
context: This is the most exciting part!\If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this? response:	I-It's over...
context: If I stop right now,\I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over... response:	D'oh.
context: I'll be a man who couldn't accomplish the one thing he set out to do,\Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over...\D'oh. response:	Now, put that away and do your homework.
context: Come on! If you don't quit,\and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over...\D'oh.\Now, put that away and do your homework. response:	And take off your damn uniform when you're at home.
context: and I'll regret it the rest of my life!\the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over...\D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home. response:	It's nighttime!
context: the kicks are just going to get harder!\Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over...\D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime! response:	I won't be able to see you anymore.
context: Do you really want your son to end up like that, Mom?!\How long can you put up with this?\I-It's over...\D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore. response:	Why, Sachiko? Don't you love me?
context: How long can you put up with this?\I-It's over...\D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me? response:	Weird. I thought I turned it off.
context: I-It's over...\D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off. response:	That's not it. I'm thinking about leaving town.
context: D'oh.\Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town. response:	And you want to forget about me?
context: Now, put that away and do your homework.\And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me? response:	Huh? It won't turn off.
context: And take off your damn uniform when you're at home.\It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off. response:	Looks like Jotaro Kujo's not leaving town...
context: It's nighttime!\I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town... response:	Even though I warned him all those times.
context: I won't be able to see you anymore.\Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times. response:	Well, what's the deal, Josuke Higashikata?
context: Why, Sachiko? Don't you love me?\Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata? response:	You're...
context: Weird. I thought I turned it off.\That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're... response:	Chili Pepper?!
context: That's not it. I'm thinking about leaving town.\And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?! response:	JoJo's Bizarre Adventure
context: And you want to forget about me?\Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?!\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Huh? It won't turn off.\Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 11 Chili Pepper, Part 1
context: Looks like Jotaro Kujo's not leaving town...\Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1 response:	Why'd you come here?
context: Even though I warned him all those times.\Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here? response:	Don't ask that now.
context: Well, what's the deal, Josuke Higashikata?\You're...\Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now. response:	I've been stopping by here every now and then for a while now.
context: You're...\Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now. response:	What?
context: Chili Pepper?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now.\What? response:	So this bastard's been watching me for a long time?
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 11 Chili Pepper, Part 1\Why'd you come here?\Don't ask that now.\I've been stopping by here every now and then for a while now.\What?\So this bastard's been watching me for a long time? response:	I've been frequently going to visit Okuyasu,
