context: Why? response:	Why couldn't you find it anywhere in Izumo?
context: Why?\Why couldn't you find it anywhere in Izumo? response:	Hanzo!
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo! response:	I am terribly sorry.
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry. response:	Without any information about its form or properties,
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry.\Without any information about its form or properties, response:	our search has been difficult.
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry.\Without any information about its form or properties,\our search has been difficult. response:	Silence!
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry.\Without any information about its form or properties,\our search has been difficult.\Silence! response:	You will bring the priestess Sanada took in to me!
context: Why?\Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry.\Without any information about its form or properties,\our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me! response:	Intimidate that disobedient Sanada while you're there, too!
context: Why couldn't you find it anywhere in Izumo?\Hanzo!\I am terribly sorry.\Without any information about its form or properties,\our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too! response:	Understood.
context: Hanzo!\I am terribly sorry.\Without any information about its form or properties,\our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood. response:	Open the gates!
context: I am terribly sorry.\Without any information about its form or properties,\our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates! response:	Hey, Saizo.
context: Without any information about its form or properties,\our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates!\Hey, Saizo. response:	Do you like this pink one or this teal one?
context: our search has been difficult.\Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one? response:	There are a whole bunch of other colors, too.
context: Silence!\You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too. response:	Whatever.
context: You will bring the priestess Sanada took in to me!\Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever. response:	Don't you know what day it is?
context: Intimidate that disobedient Sanada while you're there, too!\Understood.\Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is? response:	As a festival priestess,
context: Understood.\Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is?\As a festival priestess, response:	I'm supposed to celebrate the harvest with a dance!
context: Open the gates!\Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance! response:	I'm just asking you to help me choose my outfit.
context: Hey, Saizo.\Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit. response:	Fine, then that one.
context: Do you like this pink one or this teal one?\There are a whole bunch of other colors, too.\Whatever.\Don't you know what day it is?\As a festival priestess,\I'm supposed to celebrate the harvest with a dance!\I'm just asking you to help me choose my outfit.\Fine, then that one. response:	This one? I thought it'd be nice, too.
