context: Edolas's King Faust ordered the merciless annihilation of all in his way. response:	Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army. response:	The three Dragon Slayers, Natsu, Gajeel, and Wendy,
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy, response:	battle Droma Anim, a hardened armor that Faust is piloting.
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting. response:	Wizards of Earthland!
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland! response:	Those who possess within them an eternal, never-ending supply of magic power...
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power... response:	And among them, you Dragon Wizards and your ridiculous magic!
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic! response:	Hand your magic power over to me! This world demands it!
context: Edolas's King Faust ordered the merciless annihilation of all in his way.\Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it! response:	Fall down to earth, dragons!
context: Lucy, Gray, and the members of Edolas's Fairy Tail all stood up against the Royal Army.\The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons! response:	As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!
context: The three Dragon Slayers, Natsu, Gajeel, and Wendy,\battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed! response:	Getting up again?
context: battle Droma Anim, a hardened armor that Faust is piloting.\Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again? response:	Impressive...
context: Wizards of Earthland!\Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive... response:	That magic power is incredible!
context: Those who possess within them an eternal, never-ending supply of magic power...\And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive...\That magic power is incredible! response:	Dragon Wizards, you will be ours!
context: And among them, you Dragon Wizards and your ridiculous magic!\Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours! response:	I'm Standing Here!
context: Hand your magic power over to me! This world demands it!\Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here! response:	Collect more magic power!
context: Fall down to earth, dragons!\As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power! response:	Droma Anim, collect magic power from the sky and the land!
context: As long as we have this ultimate magic weapon, Droma Anim, our army will never be destroyed!\Getting up again?\Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land! response:	I can feel it... This world is running out of magic power...
context: Getting up again?\Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power... response:	And that is precisely why you must be ours!
context: Impressive...\That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours! response:	Salamander, use your breath.
context: That magic power is incredible!\Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath. response:	You too, brat!
context: Dragon Wizards, you will be ours!\I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat! response:	All three at the same time?
context: I'm Standing Here!\Collect more magic power!\Droma Anim, collect magic power from the sky and the land!\I can feel it... This world is running out of magic power...\And that is precisely why you must be ours!\Salamander, use your breath.\You too, brat!\All three at the same time? response:	I didn't want to suggest it'cause I'm not sure what'll happen.
