context: I hate everything about this. response:	This sunshine, beating down on you from morning onward...
context: I hate everything about this.\This sunshine, beating down on you from morning onward... response:	These students, who don't have a thought in their heads...
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads... response:	And having to hike up this steep slope every day from today,
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today, response:	just to get to school...
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school... response:	It all makes me want to throw up.
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up. response:	Nishimi Kaoru
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up.\Nishimi Kaoru response:	Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.
context: I hate everything about this.\This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka. response:	It seems he was at the top of his class at his previous school.
context: This sunshine, beating down on you from morning onward...\These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school. response:	I hope all of you study just as hard as him.
context: These students, who don't have a thought in their heads...\And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him. response:	I'm Nishimi. Nice to meet you.
context: And having to hike up this steep slope every day from today,\just to get to school...\It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you. response:	Yokosuka?
context: just to get to school...\It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka? response:	Isn't that far?
context: It all makes me want to throw up.\Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far? response:	I'm used to this routine. But...
context: Nishimi Kaoru\Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far?\I'm used to this routine. But... response:	He looks like a real grind...
context: Joining us from today is Nishimi Kaoru-kun, all the way from Yokosuka.\It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far?\I'm used to this routine. But...\He looks like a real grind... response:	Spoiled rich kid...
context: It seems he was at the top of his class at his previous school.\I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far?\I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid... response:	Their unreserved stares...
context: I hope all of you study just as hard as him.\I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far?\I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid...\Their unreserved stares... response:	Their Kyushu dialect that I can't follow...
context: I'm Nishimi. Nice to meet you.\Yokosuka?\Isn't that far?\I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow... response:	Nishimi-kun. Nishimi-kun!
context: Yokosuka?\Isn't that far?\I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun! response:	Have you decided what club you're gonna join?
context: Isn't that far?\I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join? response:	Are you interested in radios?
context: I'm used to this routine. But...\He looks like a real grind...\Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios? response:	Look at that loser, Maruo!
context: He looks like a real grind...\Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo! response:	Two four-eyed bookworm runts!
context: Spoiled rich kid...\Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts! response:	They're made for each other!
context: Their unreserved stares...\Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other! response:	S-Sorry. Because of me, they picked on you, too...
context: Their Kyushu dialect that I can't follow...\Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too... response:	Infantile creeps like that can't do anything unless they're in a pack.
context: Nishimi-kun. Nishimi-kun!\Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack. response:	I'm not interested in them.
context: Have you decided what club you're gonna join?\Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them. response:	Nishimi-kun...
context: Are you interested in radios?\Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun... response:	Not interested in radios, either...
context: Look at that loser, Maruo!\Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun...\Not interested in radios, either... response:	Nishimi-kun, one thing...
context: Two four-eyed bookworm runts!\They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing... response:	It's not a good idea to antagonize the guy who sits behind me.
context: They're made for each other!\S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me. response:	He's a notorious thug that even the teacher can't manage.
context: S-Sorry. Because of me, they picked on you, too...\Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage. response:	His name is Kawabuchi and if he zeros in on you, it's all over.
context: Infantile creeps like that can't do anything unless they're in a pack.\I'm not interested in them.\Nishimi-kun...\Not interested in radios, either...\Nishimi-kun, one thing...\It's not a good idea to antagonize the guy who sits behind me.\He's a notorious thug that even the teacher can't manage.\His name is Kawabuchi and if he zeros in on you, it's all over. response:	Oh, no. Just thinking about it makes me feel nauseous...
