context: How enjoyable! How truly enjoyable! response:	But this isn't all!
context: How enjoyable! How truly enjoyable!\But this isn't all! response:	This isn't the extent of my power! Not by a long shot!
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot! response:	I hope you haven't forgotten me!
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me! response:	Burst into bloom, Antirrhinum majus!
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus! response:	Amagiri Shinmei Style, Intermediate Skill...
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill... response:	Six Slaying Wasps!
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps! response:	I'm not done yet!
context: How enjoyable! How truly enjoyable!\But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet! response:	Clinching Victory
context: But this isn't all!\This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet!\Clinching Victory response:	The figures for this rate of increase are insane!
context: This isn't the extent of my power! Not by a long shot!\I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane! response:	You need to stop him right now!
context: I hope you haven't forgotten me!\Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now! response:	But RM-C's already ceded Limit Control,
context: Burst into bloom, Antirrhinum majus!\Amagiri Shinmei Style, Intermediate Skill...\Six Slaying Wasps!\I'm not done yet!\Clinching Victory\The figures for this rate of increase are insane!\You need to stop him right now!\But RM-C's already ceded Limit Control, response:	so there's nothing I can do now.
