context: I think we should use the same members we've been using for the next match. response:	I think we should go without Desktomu-kun.
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun. response:	Huh? Why's that, Porky?
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky? response:	Why?! Why would you say that now?!
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?! response:	It only makes sense for Desktomu-kun to play in the playoffs!
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs! response:	He'll be much more useful than an exhausted Tsukuba-kun!
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun! response:	Bingo
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo response:	Why would you say that?
context: I think we should use the same members we've been using for the next match.\I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that? response:	Wait, Kana-chan.
context: I think we should go without Desktomu-kun.\Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that?\Wait, Kana-chan. response:	I'm okay with that.
context: Huh? Why's that, Porky?\Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that?\Wait, Kana-chan.\I'm okay with that. response:	Our next opponent is Shoyo High School from Kyoto.
context: Why?! Why would you say that now?!\It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that?\Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto. response:	I was watching Fujisaki's match,
context: It only makes sense for Desktomu-kun to play in the playoffs!\He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that?\Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match, response:	so I don't have much information on them.
context: He'll be much more useful than an exhausted Tsukuba-kun!\Bingo\Why would you say that?\Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them. response:	Oh, here we go.
context: Bingo\Why would you say that?\Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go. response:	I talked to the team they beat and found out that...
context: Why would you say that?\Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that... response:	Why...
context: Wait, Kana-chan.\I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that...\Why... response:	Why won't you speak up?
context: I'm okay with that.\Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that...\Why...\Why won't you speak up? response:	Why aren't you asking to be a starter?!
context: Our next opponent is Shoyo High School from Kyoto.\I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that...\Why...\Why won't you speak up?\Why aren't you asking to be a starter?! response:	We've worked so hard together!
context: I was watching Fujisaki's match,\so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that...\Why...\Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together! response:	Why are you letting a new member take your spot?!
context: so I don't have much information on them.\Oh, here we go.\I talked to the team they beat and found out that...\Why...\Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?! response:	I'll admit that the first-years have taken some of the pressure off of us,
context: Oh, here we go.\I talked to the team they beat and found out that...\Why...\Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us, response:	but that's wrong!
context: I talked to the team they beat and found out that...\Why...\Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong! response:	You can't stop fighting to play.
context: Why...\Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play. response:	Once you've lost that drive,
context: Why won't you speak up?\Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play.\Once you've lost that drive, response:	you'll start to lose your edge!
context: Why aren't you asking to be a starter?!\We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge! response:	I'll take Tsukuba any day when he's
context: We've worked so hard together!\Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's response:	willing to rewrite the order so he can play!
context: Why are you letting a new member take your spot?!\I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play! response:	Huh?
context: I'll admit that the first-years have taken some of the pressure off of us,\but that's wrong!\You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh? response:	I'll let the Prez decide.
context: but that's wrong!\You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide. response:	Porky!
context: You can't stop fighting to play.\Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide.\Porky! response:	What order do I go with?
context: Once you've lost that drive,\you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide.\Porky!\What order do I go with? response:	I can understand where Nishida was coming from,
context: you'll start to lose your edge!\I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide.\Porky!\What order do I go with?\I can understand where Nishida was coming from, response:	but this isn't the mood we want before the playoffs.
context: I'll take Tsukuba any day when he's\willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide.\Porky!\What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs. response:	What do I do?
context: willing to rewrite the order so he can play!\Huh?\I'll let the Prez decide.\Porky!\What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do? response:	Taichi, give me that.
context: Huh?\I'll let the Prez decide.\Porky!\What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that. response:	Um, Shoyo from Kyoto...
context: I'll let the Prez decide.\Porky!\What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto... response:	There we go.
context: Porky!\What order do I go with?\I can understand where Nishida was coming from,\but this isn't the mood we want before the playoffs.\What do I do?\Taichi, give me that.\Um, Shoyo from Kyoto...\There we go. response:	Sano, Ooka, Kawabe, Tashiro, Sanada...
