context: Last time on Fairy Tail... response:	We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert. response:	But all kinds of traps were lying in wait for us there.
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there. response:	They're the ones from last time!
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time! response:	So you bastards are here too, huh?!
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?! response:	Samuel told us about The Key of the Starry Heavens.
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens. response:	And we know that a part of the clock is here.
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here. response:	It seems like you haven't found the part yet either, huh?
context: Last time on Fairy Tail...\We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh? response:	Isn't that Lulu-chama over there?!
context: We set out to find the parts of the clock, and arrived at a giant crypt underneath a desert.\But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?! response:	Who you callin' Lulu-chama?!
context: But all kinds of traps were lying in wait for us there.\They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?! response:	He didn't call you that before...
context: They're the ones from last time!\So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before... response:	His pet name has gotten even more embarrassing...
context: So you bastards are here too, huh?!\Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing... response:	Encountering each other like this... It's a fated reunion, indeed!
context: Samuel told us about The Key of the Starry Heavens.\And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed! response:	It's proof that we're joined by the red string of fate!
context: And we know that a part of the clock is here.\It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate! response:	That's not for you to decide!
context: It seems like you haven't found the part yet either, huh?\Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide! response:	L-O-V-E!
context: Isn't that Lulu-chama over there?!\Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E! response:	I'm gonna get you back for last time!
context: Who you callin' Lulu-chama?!\He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time! response:	Roar...
context: He didn't call you that before...\His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time!\Roar... response:	I don't have time to bother with you.
context: His pet name has gotten even more embarrassing...\Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time!\Roar...\I don't have time to bother with you. response:	Right now, I'm facing a major turning point in my life!
context: Encountering each other like this... It's a fated reunion, indeed!\It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time!\Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life! response:	Hot-hot-hot-hot-hot!
context: It's proof that we're joined by the red string of fate!\That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time!\Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot! response:	Lucy-neesan!
context: That's not for you to decide!\L-O-V-E!\I'm gonna get you back for last time!\Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan! response:	Natsu-nii, be careful!
context: L-O-V-E!\I'm gonna get you back for last time!\Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful! response:	Just like before, he's got that great nuisance of a shield!
context: I'm gonna get you back for last time!\Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield! response:	Run!
context: Roar...\I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run! response:	Footprints of the Myth!
context: I don't have time to bother with you.\Right now, I'm facing a major turning point in my life!\Hot-hot-hot-hot-hot!\Lucy-neesan!\Natsu-nii, be careful!\Just like before, he's got that great nuisance of a shield!\Run!\Footprints of the Myth! response:	They're not chasing us...
