context: I'm sure that I'll never forget... response:	We once lived in a hopelessly sweet, miraculous time.
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time. response:	The name of that brilliant time was...
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was... response:	Probably...
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably... response:	I'm sure...
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably...\I'm sure... response:	watashi ga umareta asa no machi yuki no naka ni umoreta
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta response:	sore wa sore wa chiisai te de aozora wo aoida
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida response:	sanagara mukashi kara yoku shiru tonari no ano ko no you ni
context: I'm sure that I'll never forget...\We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni response:	katahou no mimitabu de kiku sotsugyou no canon
context: We once lived in a hopelessly sweet, miraculous time.\The name of that brilliant time was...\Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon response:	hitori demo daijoubu yo tte mekureteru watashi no story
context: The name of that brilliant time was...\Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story response:	dareka no sei ni shitai yo
context: Probably...\I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo response:	tsurai naa iya iya
context: I'm sure...\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya response:	kanashikutte naite bakkari itara me ga tokete nakunatta
