context: Ladies and gentlemen, good evening. response:	The youth, who had been ravaged by poison, was restored to life through my friend's efforts.
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts. response:	However, my friend said something to me.
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me. response:	I will not let his soul be lost yet.
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet. response:	Not until the day that he himself snuffs out that light.
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light. response:	Act 10: The Letter From Edmond
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond response:	Monsieur Albert.
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert. response:	Have you managed to get any sleep?
context: Ladies and gentlemen, good evening.\The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep? response:	If there is one thing I have confidence in, it's my stamina.
context: The youth, who had been ravaged by poison, was restored to life through my friend's efforts.\However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina. response:	Well, you look like hell to me.
context: However, my friend said something to me.\I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me. response:	It looks like all the maids have been laid off.
context: I will not let his soul be lost yet.\Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off. response:	Yes, I heard.
context: Not until the day that he himself snuffs out that light.\Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard. response:	I can't leave her alone in this house.
context: Act 10: The Letter From Edmond\Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house. response:	Besides, Franz told me something.
context: Monsieur Albert.\Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something. response:	Marriage isn't necessarily the only way to make the person you love happy.
context: Have you managed to get any sleep?\If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy. response:	And so, I've been mulling it over as best I can.
context: If there is one thing I have confidence in, it's my stamina.\Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can. response:	What is the one thing that she needs most of all right now?
context: Well, you look like hell to me.\It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now? response:	Maximilien...
context: It looks like all the maids have been laid off.\Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien... response:	She may be asleep now, but I think that Mademoiselle Valentine...
context: Yes, I heard.\I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine... response:	So I at least want to be by her side when she wakes up.
context: I can't leave her alone in this house.\Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up. response:	Which is why I made up my mind today.
context: Besides, Franz told me something.\Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today. response:	I'm going to take her to my family home in Marseilles to recuperate.
context: Marriage isn't necessarily the only way to make the person you love happy.\And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate. response:	I don't want her to have to endure any more suffering.
context: And so, I've been mulling it over as best I can.\What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering. response:	I had a feeling that you would be here.
context: What is the one thing that she needs most of all right now?\Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here. response:	Your Honor, I came here today to discuss...
context: Maximilien...\She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss... response:	Mark my words, boy.
context: She may be asleep now, but I think that Mademoiselle Valentine...\So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy. response:	I dare you to try to take my daughter so much as one foot out of this house.
context: So I at least want to be by her side when she wakes up.\Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house. response:	The instant you do, I'll have you arrested as a kidnapper.
context: Which is why I made up my mind today.\I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper. response:	That is no threat.
context: I'm going to take her to my family home in Marseilles to recuperate.\I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat. response:	But the things that are happening in this house are...
context: I don't want her to have to endure any more suffering.\I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are... response:	Are none of your business!
context: I had a feeling that you would be here.\Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are...\Are none of your business! response:	Get out! You too, Albert.
context: Your Honor, I came here today to discuss...\Mark my words, boy.\I dare you to try to take my daughter so much as one foot out of this house.\The instant you do, I'll have you arrested as a kidnapper.\That is no threat.\But the things that are happening in this house are...\Are none of your business!\Get out! You too, Albert. response:	Begging your pardon, sir, but someone is trying to kill your family!
