context: He vanished? response:	This is Kami's doing, I'll bet.
context: He vanished?\This is Kami's doing, I'll bet. response:	This is something he would be capable of.
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of. response:	I wonder what he intends to do with him.
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him. response:	Nevertheless, if it is Kami- sama, then we can relax.
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax. response:	In any case, we need to hurry and gather the other six balls,
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls, response:	and bring Goku back to life.
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life. response:	Good grief! At a critical time like this,
context: He vanished?\This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this, response:	I wonder where Yamucha and the others have gone off to!
context: This is Kami's doing, I'll bet.\This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to! response:	You were the one who chased him away, weren't you?
context: This is something he would be capable of.\I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you? response:	But then again, how did Son- kun's brother know where he was so easily?
context: I wonder what he intends to do with him.\Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily? response:	It's that strange device he has attached to his face.
context: Nevertheless, if it is Kami- sama, then we can relax.\In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face. response:	It seems to be able to tell an opponent's strength and location.
context: In any case, we need to hurry and gather the other six balls,\and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location. response:	Kuririn?
context: and bring Goku back to life.\Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn? response:	Right.
context: Good grief! At a critical time like this,\I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn?\Right. response:	Here.
context: I wonder where Yamucha and the others have gone off to!\You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn?\Right.\Here. response:	That thing, huh? Kuririn, remove it, would you?
context: You were the one who chased him away, weren't you?\But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn?\Right.\Here.\That thing, huh? Kuririn, remove it, would you? response:	S- sure. H- he's not about to come back to life or anything, right?
context: But then again, how did Son- kun's brother know where he was so easily?\It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn?\Right.\Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right? response:	So this here does that...
context: It's that strange device he has attached to his face.\It seems to be able to tell an opponent's strength and location.\Kuririn?\Right.\Here.\That thing, huh? Kuririn, remove it, would you?\S- sure. H- he's not about to come back to life or anything, right?\So this here does that... response:	This is an incredible mechanism!
