context: Kansei University response:	Promises of Economic Cooperation
context: Kansei University\Promises of Economic Cooperation response:	Boso Uni Wins First Half Racing With Only 10 Members
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members response:	Starting in last place Brakes Last place Insufficient members
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members response:	Inexperienced Inadequate Strengths and weaknesses
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses response:	Difficult race
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race response:	Good morning.
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning. response:	Go back to bed.
context: Kansei University\Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning.\Go back to bed. response:	Did it snow overnight?
context: Promises of Economic Cooperation\Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning.\Go back to bed.\Did it snow overnight? response:	We're all in the same boat.
context: Boso Uni Wins First Half Racing With Only 10 Members\Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning.\Go back to bed.\Did it snow overnight?\We're all in the same boat. response:	Go to sleep.
context: Starting in last place Brakes Last place Insufficient members\Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning.\Go back to bed.\Did it snow overnight?\We're all in the same boat.\Go to sleep. response:	I'm worried.
context: Inexperienced Inadequate Strengths and weaknesses\Difficult race\Good morning.\Go back to bed.\Did it snow overnight?\We're all in the same boat.\Go to sleep.\I'm worried. response:	Will I trip on the slope?
context: Difficult race\Good morning.\Go back to bed.\Did it snow overnight?\We're all in the same boat.\Go to sleep.\I'm worried.\Will I trip on the slope? response:	Will my shoelaces break?
context: Good morning.\Go back to bed.\Did it snow overnight?\We're all in the same boat.\Go to sleep.\I'm worried.\Will I trip on the slope?\Will my shoelaces break? response:	You'll be fine.
