context: Kokoro response:	Kokoro
context: Kokoro\Kokoro response:	masshiro PAGE mekuru
context: Kokoro\Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: Kokoro\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: Kokoro\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: Kokoro\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: Kokoro\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	that's just waiting to be painted
context: Kokoro\Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted response:	mangekyou no fuukei
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences response:	From
context: I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From response:	Me
context: Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me response:	To
context: Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To response:	You
context: tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You response:	kizukeba STORY wa mada
context: that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	kizukeba STORY wa mada
context: with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada response:	This story has only
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
context: This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath response:	shinkokyuu wo mou ikkai
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai response:	I take a deep breath
context: gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath response:	aa yawarakakute atatakai kimi no te
context: just barely begun\gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te response:	Your hand is so warm held within mine
context: gikochinaku hajimatta bakkari\just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine response:	nigiri shimete sono kokoro no oku made todoku you ni
context: just barely begun\shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni response:	It reaches all the way into my heart
context: shinkokyuu wo mou ikkai\I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart response:	hohoenmi de kumeta nara nigirikaeshite kuretara
context: I take a deep breath\shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara response:	I can't see a brighter future
context: shinkokyuu wo mou ikkai\I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future response:	boku wa tada mae wo miteru
context: I take a deep breath\aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru response:	than you smiling and taking my hand as well
context: aa yawarakakute atatakai kimi no te\Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well response:	Forget About It
context: Your hand is so warm held within mine\nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It response:	Now it's May.
context: nigiri shimete sono kokoro no oku made todoku you ni\It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It\Now it's May. response:	Everything is bright and green.
context: It reaches all the way into my heart\hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It\Now it's May.\Everything is bright and green. response:	I considered myself the closest to you out of all of the guys.
context: hohoenmi de kumeta nara nigirikaeshite kuretara\I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It\Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys. response:	But that's not necessarily true.
context: I can't see a brighter future\boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It\Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true. response:	What did he mean by that?
context: boku wa tada mae wo miteru\than you smiling and taking my hand as well\Forget About It\Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that? response:	How should I have responded to that?
context: than you smiling and taking my hand as well\Forget About It\Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that?\How should I have responded to that? response:	I still can't stop thinking about it.
context: Forget About It\Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it. response:	K-Kazehaya only said that to me out of kindness,
context: Now it's May.\Everything is bright and green.\I considered myself the closest to you out of all of the guys.\But that's not necessarily true.\What did he mean by that?\How should I have responded to that?\I still can't stop thinking about it.\K-Kazehaya only said that to me out of kindness, response:	but I overreacted and responded to him with...
