context: Otani's Catastrophic Declaration!! response:	Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido, response:	Otani, who wants to become a teacher,
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher, response:	I don't like studying or taking tests,
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests, response:	Hey, Otani...
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani... response:	What?
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani...\What? response:	What do you want to do about the next Umibouzu concert?
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani...\What?\What do you want to do about the next Umibouzu concert? response:	I'm gonna pass this time.
context: Otani's Catastrophic Declaration!!\Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani...\What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time. response:	This is Umibouzu we're talking about!
context: Nobu-chan received her acceptance notice from the undergraduate university in Hokkaido,\Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani...\What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about! response:	It's the last Umibouzu concert of the year!
context: Otani, who wants to become a teacher,\I don't like studying or taking tests,\Hey, Otani...\What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year! response:	I know! But I don't really have a choice.
context: I don't like studying or taking tests,\Hey, Otani...\What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice. response:	This is the only time I have to study for exams.
context: Hey, Otani...\What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams. response:	I was choking back tears when I finally decided not to go.
context: What?\What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go. response:	I see...
context: What do you want to do about the next Umibouzu concert?\I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see... response:	Idiot! Who was it who said she was going to support me?!
context: I'm gonna pass this time.\This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?! response:	Exam students sure have it hard.
context: This is Umibouzu we're talking about!\It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard. response:	Are you mocking me?
context: It's the last Umibouzu concert of the year!\I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me? response:	Not really.
context: I know! But I don't really have a choice.\This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me?\Not really. response:	If not, stop talking to me while I'm trying to memorize English vocabulary.
context: This is the only time I have to study for exams.\I was choking back tears when I finally decided not to go.\I see...\Idiot! Who was it who said she was going to support me?!\Exam students sure have it hard.\Are you mocking me?\Not really.\If not, stop talking to me while I'm trying to memorize English vocabulary. response:	Wait, Otani.
