context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Hey, isn't this just messed up?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up? response:	Why did I have to get kicked out?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out? response:	I have more magical power than the royals do.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do. response:	Magic is everything in this world... isn't it?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it? response:	This is a load of bull!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull! response:	Who are you talking to?
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to? response:	I'm just talking to myself.
context: He was called the Wizard King, and he became a legend.\Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to?\I'm just talking to myself. response:	We're ready.
context: Hey, isn't this just messed up?\Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to?\I'm just talking to myself.\We're ready. response:	Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!
context: Why did I have to get kicked out?\I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to?\I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers! response:	I would always close my eyes
context: I have more magical power than the royals do.\Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to?\I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes response:	And cower at reality
context: Magic is everything in this world... isn't it?\This is a load of bull!\Who are you talking to?\I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality response:	I can't stand the idea
context: This is a load of bull!\Who are you talking to?\I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality\I can't stand the idea response:	Of just making excuses to give up
context: Who are you talking to?\I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up response:	Stand right there
context: I'm just talking to myself.\We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there response:	I don't want to be near you
context: We're ready.\Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you response:	Any minute now
context: Yeah... I'll show the Clover Kingdom's Magic Knights the true extent of my powers!\I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now response:	Just wait right there
context: I would always close my eyes\And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there response:	(The decisive battle is still a long way off)
context: And cower at reality\I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off) response:	Black and blue
context: I can't stand the idea\Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue response:	I'll give up on giving up
context: Of just making excuses to give up\Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up response:	And get the world on my side
context: Stand right there\I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side response:	I'm looking for the reason I'm alive
context: I don't want to be near you\Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive response:	Every time somewhere under this sky
context: Any minute now\Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky response:	Break through the tearful nights
context: Just wait right there\(The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights response:	And head where the light shines
context: (The decisive battle is still a long way off)\Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines response:	I want to keep my promise
context: Black and blue\I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise response:	I'll deliver it to you
context: I'll give up on giving up\And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you response:	shape of love
context: And get the world on my side\I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love response:	Capital Riot
context: I'm looking for the reason I'm alive\Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\Capital Riot response:	There's no reason to run from these jerks.
context: Every time somewhere under this sky\Break through the tearful nights\And head where the light shines\I want to keep my promise\I'll deliver it to you\shape of love\Capital Riot\There's no reason to run from these jerks. response:	Asta?
