context: Whoa! response:	A Rising Meowstball!
context: Whoa!\A Rising Meowstball! response:	Looks like Rin's mastered an awesome pitch.
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch. response:	It'd be better if she learned a few more.
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more. response:	How's this, then?!
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?! response:	Whoa!
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?!\Whoa! response:	S-Strike!
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?!\Whoa!\S-Strike! response:	It curved!
context: Whoa!\A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?!\Whoa!\S-Strike!\It curved! response:	Wh-What the heck was that?
context: A Rising Meowstball!\Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?!\Whoa!\S-Strike!\It curved!\Wh-What the heck was that? response:	It was a curveball!
context: Looks like Rin's mastered an awesome pitch.\It'd be better if she learned a few more.\How's this, then?!\Whoa!\S-Strike!\It curved!\Wh-What the heck was that?\It was a curveball! response:	No, it wasn't.
context: It'd be better if she learned a few more.\How's this, then?!\Whoa!\S-Strike!\It curved!\Wh-What the heck was that?\It was a curveball!\No, it wasn't. response:	That was a purrveball!
context: How's this, then?!\Whoa!\S-Strike!\It curved!\Wh-What the heck was that?\It was a curveball!\No, it wasn't.\That was a purrveball! response:	How about this, then?!
context: Whoa!\S-Strike!\It curved!\Wh-What the heck was that?\It was a curveball!\No, it wasn't.\That was a purrveball!\How about this, then?! response:	What?
context: S-Strike!\It curved!\Wh-What the heck was that?\It was a curveball!\No, it wasn't.\That was a purrveball!\How about this, then?!\What? response:	It curved again?!
context: It curved!\Wh-What the heck was that?\It was a curveball!\No, it wasn't.\That was a purrveball!\How about this, then?!\What?\It curved again?! response:	That was a slider!
context: Wh-What the heck was that?\It was a curveball!\No, it wasn't.\That was a purrveball!\How about this, then?!\What?\It curved again?!\That was a slider! response:	No, it wasn't.
context: It was a curveball!\No, it wasn't.\That was a purrveball!\How about this, then?!\What?\It curved again?!\That was a slider!\No, it wasn't. response:	That was a slidepurr!
context: No, it wasn't.\That was a purrveball!\How about this, then?!\What?\It curved again?!\That was a slider!\No, it wasn't.\That was a slidepurr! response:	A slidepurr?
context: That was a purrveball!\How about this, then?!\What?\It curved again?!\That was a slider!\No, it wasn't.\That was a slidepurr!\A slidepurr? response:	Wow! That's amazing!
context: How about this, then?!\What?\It curved again?!\That was a slider!\No, it wasn't.\That was a slidepurr!\A slidepurr?\Wow! That's amazing! response:	Rin learned the Purrveball Slidepurr!
context: What?\It curved again?!\That was a slider!\No, it wasn't.\That was a slidepurr!\A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: It curved again?!\That was a slider!\No, it wasn't.\That was a slidepurr!\A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: That was a slider!\No, it wasn't.\That was a slidepurr!\A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: No, it wasn't.\That was a slidepurr!\A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: That was a slidepurr!\A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: A slidepurr?\Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
context: Wow! That's amazing!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr!\Rin learned the Purrveball Slidepurr! response:	Rin learned the Purrveball Slidepurr!
