context: Wow, their level's really going up... response:	That's just what I'd expect to see from the Black Sword Knights,
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights, response:	Akihabara's most macho guys.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys. response:	Well, this is what happens when I get serious.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious. response:	You really are amazing, Isaac.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac. response:	You keep making the knights stronger.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger. response:	Both you and Reserick are irreplaceable to Maihama now.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now. response:	Now that you've complimented us, we can work even harder, Lord Iselus.
context: Wow, their level's really going up...\That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus. response:	Right, Isaac?
context: That's just what I'd expect to see from the Black Sword Knights,\Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac? response:	You're working hard, aren't you, Isaac?
context: Akihabara's most macho guys.\Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac? response:	I told you to stop that crap!
context: Well, this is what happens when I get serious.\You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap! response:	About that lunar communication device you asked me for yesterday...
context: You really are amazing, Isaac.\You keep making the knights stronger.\Both you and Reserick are irreplaceable to Maihama now.\Now that you've complimented us, we can work even harder, Lord Iselus.\Right, Isaac?\You're working hard, aren't you, Isaac?\I told you to stop that crap!\About that lunar communication device you asked me for yesterday... response:	It's going to cost that much?
