context: STAFF ROOM response:	A meeting of delegates?
context: STAFF ROOM\A meeting of delegates? response:	Apparently there's been such an influx of clubs since Spring,
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring, response:	we've run out of club rooms.
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms. response:	Oh.
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh. response:	Is this the outbreak of Wizard War VI for basal supremacy?!
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?! response:	How exciting!
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting! response:	Silence! And...?
context: STAFF ROOM\A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...? response:	And the student council is gathering all of the
context: A meeting of delegates?\Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...?\And the student council is gathering all of the response:	clubs to hold a one-time briefing session.
context: Apparently there's been such an influx of clubs since Spring,\we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session. response:	They want your club to be in attendance.
context: we've run out of club rooms.\Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance. response:	Is the purpose of that meeting to take away
context: Oh.\Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away response:	rooms from clubs deemed inactive?
context: Is this the outbreak of Wizard War VI for basal supremacy?!\How exciting!\Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive? response:	I doubt it.
context: How exciting!\Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it. response:	I'm sure of it.
context: Silence! And...?\And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it.\I'm sure of it. response:	The meeting is being held today after school,
context: And the student council is gathering all of the\clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it.\I'm sure of it.\The meeting is being held today after school, response:	so make sure your delegate attends.
context: clubs to hold a one-time briefing session.\They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it.\I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends. response:	Are you the club's delegate, Togashi?
context: They want your club to be in attendance.\Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it.\I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi? response:	No.
context: Is the purpose of that meeting to take away\rooms from clubs deemed inactive?\I doubt it.\I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi?\No. response:	Isn't it you, Rikka?
context: rooms from clubs deemed inactive?\I doubt it.\I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka? response:	CLUB DELEGATES MEETING
context: I doubt it.\I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING response:	This is the Sabbath hall.
context: I'm sure of it.\The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall. response:	The universal decision-making body!
context: The meeting is being held today after school,\so make sure your delegate attends.\Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body! response:	Is this where world-wide trends are created?
context: so make sure your delegate attends.\Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created? response:	They all look so intimidating.
context: Are you the club's delegate, Togashi?\No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating. response:	That's because each club is desperate to secure a club room.
context: No.\Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room. response:	Can you do this, Rikka?
context: Isn't it you, Rikka?\CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka? response:	CLUB DELEGATES MEETING
context: CLUB DELEGATES MEETING\This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING response:	Dekomori.
context: This is the Sabbath hall.\The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori. response:	Yes, Master?
context: The universal decision-making body!\Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori.\Yes, Master? response:	CLUB DELEGATES MEETING
context: Is this where world-wide trends are created?\They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori.\Yes, Master?\CLUB DELEGATES MEETING response:	From this day forward starting now, Dekomori...
context: They all look so intimidating.\That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori.\Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori... response:	What?
context: That's because each club is desperate to secure a club room.\Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori.\Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What? response:	It's a napping society!
context: Can you do this, Rikka?\CLUB DELEGATES MEETING\Dekomori.\Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What?\It's a napping society! response:	I am a being of the Dark.
context: CLUB DELEGATES MEETING\Dekomori.\Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What?\It's a napping society!\I am a being of the Dark. response:	It is terribly perilous for one such as I to appear
context: Dekomori.\Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What?\It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear response:	in such an overt gathering.
context: Yes, Master?\CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What?\It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering. response:	You don't wanna do it.
context: CLUB DELEGATES MEETING\From this day forward starting now, Dekomori...\What?\It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it. response:	Yuta, if I should appear in such a meeting,
context: From this day forward starting now, Dekomori...\What?\It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting, response:	the overwhelming power of Wicked Lord Shingan
context: What?\It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan response:	will inevitably affect every mortal in my vicinity.
context: It's a napping society!\I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity. response:	So you're saying you don't wanna do it.
context: I am a being of the Dark.\It is terribly perilous for one such as I to appear\in such an overt gathering.\You don't wanna do it.\Yuta, if I should appear in such a meeting,\the overwhelming power of Wicked Lord Shingan\will inevitably affect every mortal in my vicinity.\So you're saying you don't wanna do it. response:	Hey.
