context: The moon is beautiful, isn't it? response:	Yes. It really soothes the heart.
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart. response:	Fidget-fidget-fidget-fidget...
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget... response:	What's the matter, Aika?
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika? response:	Is something bothering you?
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you? response:	Eh? Is something bothering you?
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you? response:	Anything at all?
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you?\Anything at all? response:	Huh? Al?! Anything at all?
context: The moon is beautiful, isn't it?\Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all? response:	Huh? Al?!
context: Yes. It really soothes the heart.\Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all?\Huh? Al?! response:	I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!
context: Fidget-fidget-fidget-fidget...\What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing! response:	She's really a young maiden in love.
context: What's the matter, Aika?\Is something bothering you?\Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love. response:	Dear Ai, the summer heat has finally passed,
context: Is something bothering you?\Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed, response:	and little by little, Neo-Venezia is being dyed in the colors of autumn.
context: Eh? Is something bothering you?\Anything at all?\Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn. response:	Today is Alice's first day working as a Prima!
context: Anything at all?\Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima! response:	So, Aika suggested we go see how she's doing before we begin our usual practice...
context: Huh? Al?! Anything at all?\Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice... response:	Do you remember that day Oboeteimasuka ano hi o
context: Huh? Al?!\I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: I-I'm not thinking of Al! He wasn't even on my mind! I-It's absolutely nothing!\She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: She's really a young maiden in love.\Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Dear Ai, the summer heat has finally passed,\and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: and little by little, Neo-Venezia is being dyed in the colors of autumn.\Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: Today is Alice's first day working as a Prima!\So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi
context: So, Aika suggested we go see how she's doing before we begin our usual practice...\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi response:	Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita response:	Surely, it's a spiral Kitto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare response:	The days passed by, each one filled with warmth Atataka na mainichi o kasanetara
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara response:	And before I knew it, off in the distance... Itsunomanika tooku ni
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni response:	The Excitement on That Moon-Gazing Night...
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night... response:	Wow, this is so beautiful!
context: It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful! response:	Our Undine is adorable, too!
context: As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too! response:	T-T-Thank you very much.
context: Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much. response:	Hey, hey. Isn't that the Bridge of Sighs?
context: Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs? response:	Yeah, I'm pretty sure it was in the guidebook.
context: The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook. response:	Up ahead is the Bridge of Sighs.
context: And before I knew it, off in the distance... Itsunomanika tooku ni\The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs. response:	Ah, I knew it!
context: The Excitement on That Moon-Gazing Night...\Wow, this is so beautiful!\Our Undine is adorable, too!\T-T-Thank you very much.\Hey, hey. Isn't that the Bridge of Sighs?\Yeah, I'm pretty sure it was in the guidebook.\Up ahead is the Bridge of Sighs.\Ah, I knew it! response:	Because it's so beautiful it makes you want to sigh!
