context: Episode 8 The Pocket Watch response:	Good morning.
context: Episode 8 The Pocket Watch\Good morning. response:	The latch on the back gate is creaky. Want me to oil it later?
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later? response:	Please do. The mistress would also like you to shorten her stick by an inch.
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch. response:	Again?
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again? response:	Has Kelly's temperature dropped?
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped? response:	Yes. She's recovered from her cold.
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold. response:	However, she's had no appetite the last few days...
context: Episode 8 The Pocket Watch\Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days... response:	Well, I suppose it does take the elderly a while to recuperate.
context: Good morning.\The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate. response:	Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.
context: The latch on the back gate is creaky. Want me to oil it later?\Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked. response:	Red lentils, broad beans, and shallots...
context: Please do. The mistress would also like you to shorten her stick by an inch.\Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots... response:	Um...
context: Again?\Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um... response:	You're going to be a wonderful wife.
context: Has Kelly's temperature dropped?\Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife. response:	I was asked to give you this.
context: Yes. She's recovered from her cold.\However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife.\I was asked to give you this. response:	Thank you, as always.
context: However, she's had no appetite the last few days...\Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always. response:	Not at all.
context: Well, I suppose it does take the elderly a while to recuperate.\Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always.\Not at all. response:	You made breakfast?
context: Sugar, a pound of tea, a pint of vinegar, and a quart of milk should always be stocked.\Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always.\Not at all.\You made breakfast? response:	Won't you try to eat a little?
context: Red lentils, broad beans, and shallots...\Um...\You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always.\Not at all.\You made breakfast?\Won't you try to eat a little? response:	I'm not really that hungry.
context: Um...\You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always.\Not at all.\You made breakfast?\Won't you try to eat a little?\I'm not really that hungry. response:	But, you should at least try a mouthful...
context: You're going to be a wonderful wife.\I was asked to give you this.\Thank you, as always.\Not at all.\You made breakfast?\Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful... response:	Well, maybe just the soup...
context: I was asked to give you this.\Thank you, as always.\Not at all.\You made breakfast?\Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup... response:	Did you receive another letter from Young Master Jones?
context: Thank you, as always.\Not at all.\You made breakfast?\Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones? response:	It's easy to tell.
context: Not at all.\You made breakfast?\Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell. response:	What beautiful weather!
context: You made breakfast?\Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather! response:	It's a shame I can't take a walk in Hyde Park on such a wonderful day.
context: Won't you try to eat a little?\I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day. response:	Once your leg mends, you can go whenever you wish.
context: I'm not really that hungry.\But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish. response:	That's true...
context: But, you should at least try a mouthful...\Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true... response:	Where is Al?
context: Well, maybe just the soup...\Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true...\Where is Al? response:	The latch on the gate is broken, so he's gone to buy a new one.
context: Did you receive another letter from Young Master Jones?\It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one. response:	I see...
context: It's easy to tell.\What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see... response:	It's stopped again...
context: What beautiful weather!\It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again... response:	It stops so often these days.
context: It's a shame I can't take a walk in Hyde Park on such a wonderful day.\Once your leg mends, you can go whenever you wish.\That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again...\It stops so often these days. response:	For years, I would wind it 1 5 times every morning.
context: Once your leg mends, you can go whenever you wish.\That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning. response:	I have to wind it more these days, since I haven't been using it.
context: That's true...\Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it. response:	Um...
context: Where is Al?\The latch on the gate is broken, so he's gone to buy a new one.\I see...\It's stopped again...\It stops so often these days.\For years, I would wind it 1 5 times every morning.\I have to wind it more these days, since I haven't been using it.\Um... response:	Shall I take it in to be mended, ma'am?
