context: As always, I can't make any sense of you. response:	Whatever.
context: As always, I can't make any sense of you.\Whatever. response:	You better get ready,
context: As always, I can't make any sense of you.\Whatever.\You better get ready, response:	Rin.
context: As always, I can't make any sense of you.\Whatever.\You better get ready,\Rin. response:	And you're as icy as ever.
context: As always, I can't make any sense of you.\Whatever.\You better get ready,\Rin.\And you're as icy as ever. response:	Yeah...
context: As always, I can't make any sense of you.\Whatever.\You better get ready,\Rin.\And you're as icy as ever.\Yeah... response:	You really piss me off.
context: As always, I can't make any sense of you.\Whatever.\You better get ready,\Rin.\And you're as icy as ever.\Yeah...\You really piss me off. response:	Makoto.
context: As always, I can't make any sense of you.\Whatever.\You better get ready,\Rin.\And you're as icy as ever.\Yeah...\You really piss me off.\Makoto. response:	Give us the start signal.
context: Whatever.\You better get ready,\Rin.\And you're as icy as ever.\Yeah...\You really piss me off.\Makoto.\Give us the start signal. response:	Okay.
context: You better get ready,\Rin.\And you're as icy as ever.\Yeah...\You really piss me off.\Makoto.\Give us the start signal.\Okay. response:	We'll race 100 meters,
context: Rin.\And you're as icy as ever.\Yeah...\You really piss me off.\Makoto.\Give us the start signal.\Okay.\We'll race 100 meters, response:	freestyle.
context: And you're as icy as ever.\Yeah...\You really piss me off.\Makoto.\Give us the start signal.\Okay.\We'll race 100 meters,\freestyle. response:	Ready,
context: Yeah...\You really piss me off.\Makoto.\Give us the start signal.\Okay.\We'll race 100 meters,\freestyle.\Ready, response:	go!
context: You really piss me off.\Makoto.\Give us the start signal.\Okay.\We'll race 100 meters,\freestyle.\Ready,\go! response:	Wow! Rin-chan has a stronger kick!
context: Makoto.\Give us the start signal.\Okay.\We'll race 100 meters,\freestyle.\Ready,\go!\Wow! Rin-chan has a stronger kick! response:	But...
context: Give us the start signal.\Okay.\We'll race 100 meters,\freestyle.\Ready,\go!\Wow! Rin-chan has a stronger kick!\But... response:	Haru's stroke is faster!
context: Okay.\We'll race 100 meters,\freestyle.\Ready,\go!\Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster! response:	Gou?
context: We'll race 100 meters,\freestyle.\Ready,\go!\Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster!\Gou? response:	Damn it!
context: freestyle.\Ready,\go!\Wow! Rin-chan has a stronger kick!\But...\Haru's stroke is faster!\Gou?\Damn it! response:	From: Matsuoka Gou Subject: Did you get to see Nanase-san and the other guys?
