context: I'll rip you apart with my fangs, Earth Engine! response:	What's that?
context: I'll rip you apart with my fangs, Earth Engine!\What's that? response:	A planetary sign?
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign? response:	Albion!
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign?\Albion! response:	What?
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign?\Albion!\What? response:	Albion... What are you doing?!
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign?\Albion!\What?\Albion... What are you doing?! response:	Teppei, is that you?
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign?\Albion!\What?\Albion... What are you doing?!\Teppei, is that you? response:	Albion appeared...
context: I'll rip you apart with my fangs, Earth Engine!\What's that?\A planetary sign?\Albion!\What?\Albion... What are you doing?!\Teppei, is that you?\Albion appeared... response:	And it interfered with me.
context: What's that?\A planetary sign?\Albion!\What?\Albion... What are you doing?!\Teppei, is that you?\Albion appeared...\And it interfered with me. response:	What?
context: A planetary sign?\Albion!\What?\Albion... What are you doing?!\Teppei, is that you?\Albion appeared...\And it interfered with me.\What? response:	Something bad is about to happen.
context: Albion!\What?\Albion... What are you doing?!\Teppei, is that you?\Albion appeared...\And it interfered with me.\What?\Something bad is about to happen. response:	We need to check this out.
context: What?\Albion... What are you doing?!\Teppei, is that you?\Albion appeared...\And it interfered with me.\What?\Something bad is about to happen.\We need to check this out. response:	Assault of the Planetary Gear
context: Albion... What are you doing?!\Teppei, is that you?\Albion appeared...\And it interfered with me.\What?\Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear response:	Having a summer break like this is a nice change.
context: Teppei, is that you?\Albion appeared...\And it interfered with me.\What?\Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change. response:	Hey, Pitz.
context: Albion appeared...\And it interfered with me.\What?\Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz. response:	Want a watermelon seed?
context: And it interfered with me.\What?\Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed? response:	You're too worried about Hana to eat, huh?
context: What?\Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh? response:	Just like Daichi?
context: Something bad is about to happen.\We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi? response:	I'm worried about Hana...
context: We need to check this out.\Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana... response:	But what about Teppei? Will he be okay?
context: Assault of the Planetary Gear\Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay? response:	It won't do any good for you to get depressed.
context: Having a summer break like this is a nice change.\Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed. response:	That's true.
context: Hey, Pitz.\Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true. response:	Belly Button...
context: Want a watermelon seed?\You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true.\Belly Button... response:	Belly Button Forte!
context: You're too worried about Hana to eat, huh?\Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true.\Belly Button...\Belly Button Forte! response:	Well? What do you think?
context: Just like Daichi?\I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true.\Belly Button...\Belly Button Forte!\Well? What do you think? response:	Wh-What do I think? What are you doing?
context: I'm worried about Hana...\But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true.\Belly Button...\Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing? response:	This is the beautiful, beautiful Akari-chan showing you her belly button
context: But what about Teppei? Will he be okay?\It won't do any good for you to get depressed.\That's true.\Belly Button...\Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button response:	as a magic spell to make you feel better!
context: It won't do any good for you to get depressed.\That's true.\Belly Button...\Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better! response:	Belly Button Forte!
context: That's true.\Belly Button...\Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte! response:	See? You feel better, don't you?
context: Belly Button...\Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you? response:	Yes... A little, maybe.
context: Belly Button Forte!\Well? What do you think?\Wh-What do I think? What are you doing?\This is the beautiful, beautiful Akari-chan showing you her belly button\as a magic spell to make you feel better!\Belly Button Forte!\See? You feel better, don't you?\Yes... A little, maybe. response:	Okay...
