context: Bell-kun, are we at that town yet? response:	Just a little more, I think, Goddess.
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess. response:	Hang in there.
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there. response:	This was supposed to be a date for just you and me, Bell-kun...
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun... response:	So what are all those people doing here?
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here? response:	Bell-sama, look!
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look! response:	Huh? Okay.
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look!\Huh? Okay. response:	The monsters visit this floor just as we do.
context: Bell-kun, are we at that town yet?\Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do. response:	It would be more appropriate to call this
context: Just a little more, I think, Goddess.\Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this response:	the monsters' paradise, instead of ours.
context: Hang in there.\This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours. response:	Goddess, this world is beautiful, isn't it?
context: This was supposed to be a date for just you and me, Bell-kun...\So what are all those people doing here?\Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it? response:	That's right, Bell-kun.
context: So what are all those people doing here?\Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun. response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: Bell-sama, look!\Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Show Evil Intentions
context: Huh? Okay.\The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions response:	This is Livira.
context: The monsters visit this floor just as we do.\It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira. response:	It's a town founded by adventurers.
context: It would be more appropriate to call this\the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira.\It's a town founded by adventurers. response:	Th-That's crazy!
context: the monsters' paradise, instead of ours.\Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira.\It's a town founded by adventurers.\Th-That's crazy! response:	This whetstone is 13,000 valis!
context: Goddess, this world is beautiful, isn't it?\That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira.\It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis! response:	No way!
context: That's right, Bell-kun.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira.\It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis!\No way! response:	This beat-up old bag is 20,000 valis?
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Show Evil Intentions\This is Livira.\It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis? response:	How is that even legal?
context: Show Evil Intentions\This is Livira.\It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis?\How is that even legal? response:	If you don't want to buy, that doesn't bother me.
context: This is Livira.\It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me. response:	The inns here are absurdly expensive, too.
context: It's a town founded by adventurers.\Th-That's crazy!\This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too. response:	That's why we camp in the forest.
context: Th-That's crazy!\This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest. response:	I see.
context: This whetstone is 13,000 valis!\No way!\This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see. response:	Huh?
context: No way!\This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see.\Huh? response:	Where's the Goddess?
context: This beat-up old bag is 20,000 valis?\How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see.\Huh?\Where's the Goddess? response:	Over there.
context: How is that even legal?\If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see.\Huh?\Where's the Goddess?\Over there. response:	You're right.
context: If you don't want to buy, that doesn't bother me.\The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see.\Huh?\Where's the Goddess?\Over there.\You're right. response:	When did she
context: The inns here are absurdly expensive, too.\That's why we camp in the forest.\I see.\Huh?\Where's the Goddess?\Over there.\You're right.\When did she response:	I-I'm sorry.
context: That's why we camp in the forest.\I see.\Huh?\Where's the Goddess?\Over there.\You're right.\When did she\I-I'm sorry. response:	It's that rookie kid from the bar!
context: I see.\Huh?\Where's the Goddess?\Over there.\You're right.\When did she\I-I'm sorry.\It's that rookie kid from the bar! response:	You're going to pay for what happened back there
context: Huh?\Where's the Goddess?\Over there.\You're right.\When did she\I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there response:	Um, I...
context: Where's the Goddess?\Over there.\You're right.\When did she\I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I... response:	Hey, Moldo.
context: Over there.\You're right.\When did she\I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I...\Hey, Moldo. response:	You know the Sword Princess?
context: You're right.\When did she\I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I...\Hey, Moldo.\You know the Sword Princess? response:	We're leaving.
context: When did she\I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I...\Hey, Moldo.\You know the Sword Princess?\We're leaving. response:	What's with them?
context: I-I'm sorry.\It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I...\Hey, Moldo.\You know the Sword Princess?\We're leaving.\What's with them? response:	So lame.
context: It's that rookie kid from the bar!\You're going to pay for what happened back there\Um, I...\Hey, Moldo.\You know the Sword Princess?\We're leaving.\What's with them?\So lame. response:	Bell-kun! Bell-kun!
context: You're going to pay for what happened back there\Um, I...\Hey, Moldo.\You know the Sword Princess?\We're leaving.\What's with them?\So lame.\Bell-kun! Bell-kun! response:	Ta-da!
context: Um, I...\Hey, Moldo.\You know the Sword Princess?\We're leaving.\What's with them?\So lame.\Bell-kun! Bell-kun!\Ta-da! response:	What do you think?
context: Hey, Moldo.\You know the Sword Princess?\We're leaving.\What's with them?\So lame.\Bell-kun! Bell-kun!\Ta-da!\What do you think? response:	It smells good!
context: You know the Sword Princess?\We're leaving.\What's with them?\So lame.\Bell-kun! Bell-kun!\Ta-da!\What do you think?\It smells good! response:	Right? Right?
context: We're leaving.\What's with them?\So lame.\Bell-kun! Bell-kun!\Ta-da!\What do you think?\It smells good!\Right? Right? response:	I knew you'd say that.
context: What's with them?\So lame.\Bell-kun! Bell-kun!\Ta-da!\What do you think?\It smells good!\Right? Right?\I knew you'd say that. response:	You bought something like that here?
context: So lame.\Bell-kun! Bell-kun!\Ta-da!\What do you think?\It smells good!\Right? Right?\I knew you'd say that.\You bought something like that here? response:	You don't know how to spend money.
context: Bell-kun! Bell-kun!\Ta-da!\What do you think?\It smells good!\Right? Right?\I knew you'd say that.\You bought something like that here?\You don't know how to spend money. response:	You bought that backpack, didn't you?
context: Ta-da!\What do you think?\It smells good!\Right? Right?\I knew you'd say that.\You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you? response:	We need this to get back to the surface!
context: What do you think?\It smells good!\Right? Right?\I knew you'd say that.\You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface! response:	I didn't have a choice!
context: It smells good!\Right? Right?\I knew you'd say that.\You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice! response:	And I need my perfume, too!
context: Right? Right?\I knew you'd say that.\You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too! response:	It's a maiden's necessity.
context: I knew you'd say that.\You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity. response:	Bell-kun, you don't like sweaty girls, do you?
context: You bought something like that here?\You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you? response:	I've never thought about that.
context: You don't know how to spend money.\You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that. response:	Hestia-sama, we're all going to take a bath after this.
context: You bought that backpack, didn't you?\We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this. response:	Want to come with us?
context: We need this to get back to the surface!\I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us? response:	Really? Sure do! I sure do!
context: I didn't have a choice!\And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do! response:	I-I'll go, too!
context: And I need my perfume, too!\It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too! response:	We'd like to come, too!
context: It's a maiden's necessity.\Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too! response:	Okay, let's go!
context: Bell-kun, you don't like sweaty girls, do you?\I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too!\Okay, let's go! response:	What is it, Hermes-sama?
context: I've never thought about that.\Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama? response:	Bell-kun, once we get back to camp, can I have a little of your time?
context: Hestia-sama, we're all going to take a bath after this.\Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time? response:	Good work, Bete.
context: Want to come with us?\Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete. response:	Hauling antidotes is a pain, don't make me do
context: Really? Sure do! I sure do!\I-I'll go, too!\We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do response:	it!
context: I-I'll go, too!\We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do\it! response:	Thanks to you, we can leave for the surface in the morning.
context: We'd like to come, too!\Okay, let's go!\What is it, Hermes-sama?\Bell-kun, once we get back to camp, can I have a little of your time?\Good work, Bete.\Hauling antidotes is a pain, don't make me do\it!\Thanks to you, we can leave for the surface in the morning. response:	We'll be splitting into two groups,
